id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total
463456,2022,"-23.619.879.888.757.400,00","-46.766.202.124.909.500,00",5,kilometer,489,"R$ 4.315,26",25,27,36,33,
430833,2022,"-23.574.694.836.496.500,00","-46.722.190.719.354.400,00",5,kilometer,138,"R$ 4.298,98",3,4,,4,
432743,2022,"-2.364.150.564.248.710,00","-4.675.501.275.320.690,00",5,kilometer,686,"R$ 4.283,00",36,44,38,37,
445618,2022,"-23.644.109.027.889.100,00","-4.674.239.370.648.720,00",5,kilometer,304,"R$ 4.273,98",13,7,12,15,
432463,2022,"-23.631.556.074.222.100,00","-4.676.059.249.879.220,00",5,kilometer,570,"R$ 4.258,63",37,36,36,47,
452306,2022,"-23.643.592.567.577.200,00","-4.671.690.808.636.340,00",5,kilometer,267,"R$ 4.254,91",11,11,12,13,
432583,2022,"-23.637.725.945.701.200,00","-4.675.164.139.383.310,00",5,kilometer,410,"R$ 4.252,03",18,19,25,24,
463602,2022,"-23.601.576.993.095.100,00","-46.772.957.473.433.400,00",5,kilometer,448,"R$ 4.249,22",14,24,34,22,
432790,2022,"-23.641.303.871.905.500,00","-4.676.877.576.733.480,00",5,kilometer,361,"R$ 4.246,06",15,26,25,14,
430877,2022,"-23.573.975.101.216.300,00","-4.672.888.733.578.650,00",5,kilometer,237,"R$ 4.244,47",5,8,4,16,
458333,2022,"-23.593.614.337.112.200,00","-4.674.641.676.388.530,00",5,kilometer,379,"R$ 4.242,86",15,19,21,19,
463613,2022,"-23.602.497.626.191.100,00","-4.676.703.614.988.320,00",5,kilometer,427,"R$ 4.232,48",20,24,33,32,
433421,2022,"-23.641.396.084.890.500,00","-4.676.271.668.834.950,00",5,kilometer,532,"R$ 4.220,10",30,39,58,45,
432953,2022,"-23.629.330.327.113.900,00","-4.675.070.248.489.840,00",5,kilometer,422,"R$ 4.215,03",32,25,22,16,
431390,2022,"-23.581.516.274.791.100,00","-46.748.658.632.995.900,00",5,kilometer,263,"R$ 4.209,99",15,9,10,7,
463607,2022,"-2.360.551.481.248.320,00","-4.676.698.774.639.360,00",5,kilometer,177,"R$ 4.202,95",0,12,4,14,
432890,2022,"-2.361.680.463.753.710,00","-4.675.636.020.016.880,00",5,kilometer,382,"R$ 4.187,26",14,33,19,19,
458072,2022,"-2.360.141.141.441.630,00","-4.673.834.256.109.850,00",5,kilometer,259,"R$ 4.181,39",10,5,9,14,
432845,2022,"-2.361.868.613.677.030,00","-46.754.324.465.747.400,00",5,kilometer,541,"R$ 4.173,65",12,24,29,28,
463665,2022,"-2.360.504.782.599.900,00","-46.762.003.766.045.600,00",5,kilometer,255,"R$ 4.161,96",14,9,13,10,
431376,2022,"-23.583.676.845.567.200,00","-4.674.315.732.374.350,00",5,kilometer,645,"R$ 4.153,03",22,30,32,40,
458286,2022,"-2.360.153.903.001.480,00","-4.675.099.078.656.220,00",5,kilometer,232,"R$ 4.150,02",7,12,12,14,
452245,2022,"-2.364.814.677.356.330,00","-4.671.048.504.997.840,00",5,kilometer,826,"R$ 4.137,98",31,30,30,42,
463564,2022,"-23.616.044.463.283.900,00","-4.676.656.327.310.860,00",5,kilometer,493,"R$ 4.132,44",22,30,27,27,
432840,2022,"-23.618.604.165.280.800,00","-4.675.950.118.704.600,00",5,kilometer,275,"R$ 4.122,23",11,18,9,16,
458332,2022,"-23.592.303.182.546.800,00","-4.674.448.525.143.940,00",5,kilometer,643,"R$ 4.115,28",28,32,28,39,
463957,2022,"-23.608.149.226.510.900,00","-46.756.704.481.094.700,00",5,kilometer,507,"R$ 4.103,85",19,13,10,19,
450635,2022,"-23.577.894.646.139.800,00","-467.548.343.025.908,00",5,kilometer,850,"R$ 4.096,63",28,41,40,54,
445412,2022,"-23.654.946.761.522.100,00","-4.674.839.985.650.180,00",5,kilometer,436,"R$ 4.095,11",21,25,31,32,
432571,2022,"-23.632.687.550.539.800,00","-4.677.466.492.289.130,00",5,kilometer,777,"R$ 4.075,92",43,49,31,47,
458275,2022,"-23.610.652.260.022.700,00","-4.674.937.241.728.580,00",5,kilometer,483,"R$ 4.064,31",12,12,19,22,
432888,2022,"-23.625.179.279.927.200,00","-4.675.781.828.406.320,00",5,kilometer,385,"R$ 4.060,81",16,16,19,30,
432449,2022,"-23.629.184.717.233.000,00","-46.766.855.933.105.000,00",5,kilometer,240,"R$ 4.056,43",8,8,6,13,
463814,2022,"-23.609.071.348.825.600,00","-4.676.464.217.151.700,00",5,kilometer,9,"R$ 4.056,25",0,0,0,0,
445454,2022,"-23.649.189.300.430.300,00","-4.674.521.824.003.340,00",5,kilometer,716,"R$ 4.052,53",29,45,42,40,
458190,2022,"-23.596.537.427.677.700,00","-4.675.492.411.513.580,00",5,kilometer,415,"R$ 4.042,24",13,18,22,18,
432947,2022,"-23.620.552.967.612.400,00","-4.675.920.190.660.640,00",5,kilometer,526,"R$ 4.037,74",16,21,19,26,
463950,2022,"-2.361.787.997.870.470,00","-4.677.378.546.541.300,00",5,kilometer,250,"R$ 4.036,93",9,15,17,21,
463668,2022,"-2.360.472.601.996.020,00","-4.675.152.228.619.630,00",5,kilometer,396,"R$ 4.033,72",17,24,21,26,
463742,2022,"-23.599.838.440.668.000,00","-4.676.112.682.965.460,00",5,kilometer,667,"R$ 4.029,10",40,34,41,44,
445623,2022,"-23.641.994.658.218.200,00","-467.427.335.208.779,00",5,kilometer,160,"R$ 4.026,53",5,6,3,5,
458155,2022,"-23.600.366.671.019.100,00","-4.673.990.261.851.530,00",5,kilometer,159,"R$ 4.022,95",,6,7,6,
458120,2022,"-2.359.555.165.052.220,00","-46.759.559.721.227.000,00",5,kilometer,453,"R$ 4.017,49",17,26,25,20,
463703,2022,"-2.360.368.134.404.940,00","-4.675.618.746.785.880,00",5,kilometer,457,"R$ 4.014,32",26,26,25,34,
458160,2022,"-23.600.743.837.139.300,00","-4.673.918.024.402.710,00",5,kilometer,406,"R$ 4.013,83",20,13,20,15,
452162,2022,"-23.641.687.588.088.500,00","-4.671.572.648.120.000,00",5,kilometer,409,"R$ 4.011,60",13,11,14,21,
432948,2022,"-23.619.253.328.499.700,00","-46.759.128.106.596.400,00",5,kilometer,376,"R$ 4.005,67",24,20,23,18,
450082,2022,"-235.910.178.568.149,00","-46.770.418.323.754.400,00",5,kilometer,481,"R$ 4.005,24",20,25,21,27,
445465,2022,"-23.646.744.888.376.300,00","-4.673.720.611.273.630,00",5,kilometer,374,"R$ 3.999,08",8,14,23,16,
463722,2022,"-2.360.778.160.794.150,00","-4.677.219.162.646.270,00",5,kilometer,299,"R$ 3.994,11",11,9,16,25,
458154,2022,"-23.600.113.583.679.300,00","-46.740.384.408.535.800,00",5,kilometer,165,"R$ 3.989,85",3,3,3,5,
430900,2022,"-2.357.557.099.593.220,00","-4.671.993.776.398.820,00",5,kilometer,215,"R$ 3.987,56",5,3,3,9,
463633,2022,"-23.611.519.157.448.400,00","-46.759.129.014.502.600,00",5,kilometer,268,"R$ 3.985,70",7,14,15,16,
447231,2022,"-236.102.659.848.013,00","-4.672.532.046.841.570,00",5,kilometer,392,"R$ 3.984,64",15,17,24,24,
452304,2022,"-23.641.013.954.618.700,00","-4.672.118.700.471.200,00",5,kilometer,167,"R$ 3.973,29",4,6,8,10,
432926,2022,"-23.630.382.927.693.300,00","-4.674.793.307.776.700,00",5,kilometer,607,"R$ 3.971,20",40,47,29,32,
463671,2022,"-23.607.860.915.217.200,00","-46.754.980.822.523.600,00",5,kilometer,303,"R$ 3.969,97",10,6,13,12,
458194,2022,"-23.596.598.698.264.400,00","-467.502.759.314.378,00",5,kilometer,256,"R$ 3.961,05",12,15,24,8,
463699,2022,"-2.360.057.876.769.630,00","-46.759.551.084.090.700,00",5,kilometer,476,"R$ 3.960,35",24,30,23,26,
452328,2022,"-23.627.642.944.115.400,00","-46.705.736.500.059.300,00",5,kilometer,104,"R$ 3.959,66",4,,4,7,
450776,2022,"-23.576.650.228.962.100,00","-4.674.805.653.200.250,00",5,kilometer,501,"R$ 3.946,37",19,29,22,33,
431391,2022,"-23.581.948.836.906.100,00","-46.746.806.153.338.200,00",5,kilometer,345,"R$ 3.933,50",13,16,14,22,
458071,2022,"-23.600.586.834.722.700,00","-4.673.642.221.930.360,00",5,kilometer,526,"R$ 3.932,29",29,31,34,33,
450681,2022,"-23.583.399.592.563.800,00","-46.754.915.641.629.000,00",5,kilometer,472,"R$ 3.930,44",20,25,23,34,
432897,2022,"-23.620.042.430.597.600,00","-46.757.431.742.730.300,00",5,kilometer,165,"R$ 3.930,00",3,4,,6,
463949,2022,"-2.361.844.754.911.790,00","-4.677.376.194.581.530,00",5,kilometer,484,"R$ 3.924,79",16,23,25,33,
432631,2022,"-23.623.435.185.545.900,00","-4.675.471.942.189.010,00",5,kilometer,378,"R$ 3.899,94",19,20,22,18,
445494,2022,"-2.365.239.063.628.600,00","-46.740.535.397.832.300,00",5,kilometer,608,"R$ 3.897,54",30,30,40,29,
432903,2022,"-23.643.898.681.791.200,00","-4.676.761.825.486.300,00",5,kilometer,402,"R$ 3.897,04",10,16,29,25,
458137,2022,"-2.359.770.947.120.120,00","-4.672.719.122.498.390,00",5,kilometer,250,"R$ 3.893,64",5,13,6,15,
455663,2022,"-23.640.094.383.562.000,00","-4.673.933.778.946.830,00",5,kilometer,1691,"R$ 3.883,02",111,95,97,74,
430851,2022,"-2.358.834.801.600.370,00","-4.673.503.555.319.770,00",5,kilometer,183,"R$ 3.879,97",9,,7,12,
432884,2022,"-23.619.112.403.159.600,00","-4.675.324.753.234.710,00",5,kilometer,324,"R$ 3.870,58",7,13,11,15,
458230,2022,"-23.594.632.496.715.000,00","-46.758.698.746.563.600,00",5,kilometer,262,"R$ 3.854,43",5,14,15,13,
458102,2022,"-23.601.672.879.605.900,00","-4.673.138.259.040.780,00",5,kilometer,398,"R$ 3.854,35",16,26,19,15,
