id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total
432034,2022,-23.6425346509712,-46.6692507375048,5,kilometer,162.0,"10420,58",6.0,6.0,10.0,6.0,28
432035,2022,-23.6115586171343,-46.6770762052944,5,kilometer,172.0,"12845,68",4.0,6.0,5.0,3.0,18
432036,2022,-23.6215832415727,-46.6768034770054,5,kilometer,635.0,"20063,09",31.0,59.0,61.0,47.0,198
432037,2022,-23.6207907683237,-46.6760781666172,5,kilometer,282.0,"12656,12",15.0,5.0,10.0,16.0,46
432038,2022,-23.6200018356597,-46.6753427544911,5,kilometer,210.0,"15772,41",11.0,6.0,6.0,9.0,32
432039,2022,-23.6214207999401,-46.6735762903864,5,kilometer,234.0,"12288,13",8.0,5.0,5.0,12.0,30
432040,2022,-23.6211342891995,-46.6736886129903,5,kilometer,158.0,"8432,79",0.0,,,0.0,0
432041,2022,-23.6183529495485,-46.6791182196447,5,kilometer,313.0,"30894,82",8.0,11.0,14.0,19.0,52
432042,2022,-23.6183214190444,-46.6804654959921,5,kilometer,266.0,"27220,56",13.0,17.0,29.0,15.0,74
432043,2022,-23.6187045657291,-46.680871095910305,5,kilometer,300.0,"19314,29",9.0,21.0,24.0,21.0,75
432044,2022,-23.6161579095126,-46.6796743031755,5,kilometer,246.0,"10584,2",5.0,9.0,11.0,13.0,38
432045,2022,-23.6167269160888,-46.6794189518448,5,kilometer,203.0,"11395,82",,5.0,5.0,7.0,17
432046,2022,-23.6155296819585,-46.6773908279874,5,kilometer,366.0,"15647,84",8.0,17.0,18.0,13.0,56
432047,2022,-23.6150766940221,-46.6784798732285,5,kilometer,243.0,"11520,7",7.0,9.0,13.0,11.0,40
432048,2022,-23.6129205501166,-46.6775360786085,5,kilometer,225.0,"9959,78",8.0,3.0,4.0,3.0,18
432049,2022,-23.6118769812851,-46.6773731734801,5,kilometer,194.0,"13404,29",0.0,,0.0,,0
432050,2022,-23.612188481626,-46.6775780877053,5,kilometer,214.0,"13757,58",,,3.0,3.0,6
432053,2022,-23.6273254618713,-46.6685556426067,5,kilometer,316.0,"15053,32",13.0,21.0,14.0,15.0,63
432054,2022,-23.6291678926597,-46.6696476804652,5,kilometer,262.0,"7174,06",7.0,8.0,9.0,7.0,31
432055,2022,-23.6384577732056,-46.6674071042846,5,kilometer,174.0,"6098,42",7.0,3.0,6.0,9.0,25
432057,2022,-23.6393100206204,-46.6693990694796,5,kilometer,232.0,"8524,75",6.0,14.0,5.0,6.0,31
432058,2022,-23.6386417908343,-46.6691635707853,5,kilometer,234.0,"13809,16",8.0,6.0,5.0,4.0,23
432059,2022,-23.6392103700405,-46.6722581560803,5,kilometer,161.0,"5410,82",4.0,,7.0,8.0,19
432060,2022,-23.6238654042896,-46.6804128904823,5,kilometer,185.0,"12137,46",5.0,6.0,8.0,19.0,38
432061,2022,-23.6244938762537,-46.67895365096209,5,kilometer,275.0,"8815,57",7.0,14.0,5.0,8.0,34
432062,2022,-23.622666512482,-46.673420394991,5,kilometer,296.0,"14935,03",7.0,13.0,12.0,14.0,46
432063,2022,-23.6231295931678,-46.6735516075194,5,kilometer,248.0,"11520,29",6.0,7.0,7.0,13.0,33
432064,2022,-23.6265118607535,-46.6848367333656,5,kilometer,298.0,"25739,58",14.0,14.0,25.0,22.0,75
432065,2022,-23.6268256957098,-46.6852218639378,5,kilometer,300.0,"24810,23",9.0,15.0,19.0,37.0,80
432066,2022,-23.623799558574,-46.6849804126201,5,kilometer,270.0,"25343,58",13.0,15.0,20.0,18.0,66
432067,2022,-23.6252662150636,-46.6852592063278,5,kilometer,295.0,"28787,11",10.0,13.0,25.0,21.0,69
432068,2022,-23.6213931038507,-46.6813513100192,5,kilometer,211.0,"27360,05",9.0,9.0,16.0,13.0,47
432069,2022,-23.6224774720459,-46.6823855562224,5,kilometer,247.0,"10948,8",0.0,4.0,5.0,10.0,19
432070,2022,-23.6199460248049,-46.6799058466732,5,kilometer,263.0,"17859,75",9.0,14.0,10.0,12.0,45
432071,2022,-23.6210203959968,-46.6793672200317,5,kilometer,234.0,"28223,41",19.0,27.0,12.0,9.0,67
432072,2022,-23.61994386073,-46.6736186320034,5,kilometer,200.0,"9852,42",15.0,4.0,7.0,11.0,37
432073,2022,-23.6197384964729,-46.674102710177294,5,kilometer,129.0,"6302,06",,,0.0,0.0,0
432074,2022,-23.6145426940018,-46.6733027851461,5,kilometer,267.0,"19094,06",15.0,30.0,13.0,7.0,65
432075,2022,-23.6148109951634,-46.6734094259373,5,kilometer,348.0,"23978,26",29.0,17.0,21.0,16.0,83
432076,2022,-23.6153019812795,-46.674309665755,5,kilometer,170.0,"14915,2",7.0,9.0,4.0,,20
432077,2022,-23.6156386633773,-46.6738043470799,5,kilometer,119.0,"8193,33",0.0,0.0,,,0
432078,2022,-23.6172931855654,-46.6803248222677,5,kilometer,202.0,"16029,84",4.0,9.0,11.0,9.0,33
432079,2022,-23.6175608530962,-46.6805893385211,5,kilometer,153.0,"11731,64",,7.0,,6.0,13
432080,2022,-23.6285804375296,-46.6780562185784,5,kilometer,356.0,"9706,97",14.0,11.0,18.0,22.0,65
432081,2022,-23.6294207562433,-46.67584038356689,5,kilometer,280.0,"12730,77",8.0,14.0,16.0,19.0,57
432082,2022,-23.6230552177791,-46.6778564348938,5,kilometer,201.0,"21540,79",16.0,14.0,13.0,9.0,52
432083,2022,-23.6228987810812,-46.6765585059955,5,kilometer,336.0,"39652,59",27.0,36.0,29.0,12.0,104
432084,2022,-23.6335183918436,-46.6773552405134,5,kilometer,393.0,"18251,29",14.0,10.0,25.0,31.0,80
432085,2022,-23.6310279471047,-46.6794080793723,5,kilometer,324.0,"17389,53",9.0,17.0,22.0,23.0,71
432086,2022,-23.6388889370626,-46.673910392759,5,kilometer,176.0,"6554,67",,7.0,7.0,4.0,18
432087,2022,-23.6400301509208,-46.6755799496326,5,kilometer,297.0,"7556,32",7.0,5.0,12.0,15.0,39
432088,2022,-23.6215138716432,-46.6831515746288,5,kilometer,343.0,"19381,65",7.0,18.0,17.0,12.0,54
432089,2022,-23.6199316373672,-46.6817634405953,5,kilometer,257.0,"14179,61",9.0,7.0,13.0,12.0,41
432090,2022,-23.6189819262189,-46.681608574719,5,kilometer,240.0,"15162,68",4.0,9.0,8.0,11.0,32
432091,2022,-23.6186275422001,-46.6740414313966,5,kilometer,200.0,"21059,28",10.0,11.0,,5.0,26
432092,2022,-23.6194172442382,-46.6747901308306,5,kilometer,363.0,"9619,41",16.0,10.0,14.0,22.0,62
432095,2022,-23.630968461338,-46.67084266890831,5,kilometer,339.0,"1584,83",35.0,39.0,37.0,27.0,138
432096,2022,-23.6302314968236,-46.6707774663625,5,kilometer,205.0,"6068,03",9.0,13.0,12.0,15.0,49
432097,2022,-23.6281031747855,-46.6739009445143,5,kilometer,381.0,"14367,62",23.0,24.0,15.0,11.0,73
432098,2022,-23.629949912928,-46.6728731454751,5,kilometer,195.0,"5747,68",4.0,11.0,12.0,20.0,47
432101,2022,-23.6221192084726,-46.6761666298457,5,kilometer,276.0,"28724,72",24.0,24.0,23.0,20.0,91
432102,2022,-23.6224586577929,-46.6758802891073,5,kilometer,282.0,"29301,21",15.0,28.0,29.0,11.0,83
432103,2022,-23.6213083591991,-46.6776673974328,5,kilometer,165.0,"18520,58",,4.0,3.0,,7
432104,2022,-23.6210190776127,-46.6773949785485,5,kilometer,221.0,"15819,94",,4.0,7.0,7.0,18
432105,2022,-23.6205708276198,-46.6748064784226,5,kilometer,201.0,"10639,25",3.0,,4.0,5.0,12
432106,2022,-23.6207508851552,-46.6742845924309,5,kilometer,213.0,"10893,2",6.0,5.0,4.0,3.0,18
432109,2022,-23.6204249589087,-46.677272585887,5,kilometer,320.0,"10948,35",7.0,8.0,7.0,4.0,26
432110,2022,-23.6441949293857,-46.6714624549231,5,kilometer,110.0,"8432,55",,3.0,3.0,4.0,10
432111,2022,-23.643708099768,-46.671885046715104,5,kilometer,115.0,"8681,52",,8.0,5.0,3.0,16
432112,2022,-23.6432336500501,-46.6701167277371,5,kilometer,205.0,"18772,12",12.0,13.0,8.0,14.0,47
432113,2022,-23.6420844679072,-46.6704650022283,5,kilometer,261.0,"39691,29",11.0,7.0,8.0,12.0,38
432116,2022,-23.6329423419682,-46.6680566830588,5,kilometer,288.0,"9799,22",9.0,17.0,11.0,16.0,53
432121,2022,-23.6399244503301,-46.6728324170862,5,kilometer,199.0,"7823,17",5.0,4.0,4.0,4.0,17
432125,2022,-23.6220451397948,-46.6776124604398,5,kilometer,203.0,"16522,84",6.0,5.0,5.0,3.0,19
432126,2022,-23.6223774488298,-46.6771994773521,5,kilometer,363.0,"18556,42",21.0,5.0,7.0,3.0,36
432130,2022,-23.6293062620993,-46.67239392938409,5,kilometer,62.0,"1620,76",,0.0,,,0
432131,2022,-23.6298937938307,-46.6720596987315,5,kilometer,597.0,"1539,75",69.0,90.0,75.0,67.0,301
432132,2022,-23.6189129406089,-46.681755464044,5,kilometer,182.0,"15732,43",0.0,,6.0,7.0,13
432134,2022,-23.6375226931088,-46.6659480095961,5,kilometer,334.0,"6585,52",7.0,12.0,7.0,3.0,29
432135,2022,-23.6343993532994,-46.6702624764714,5,kilometer,57.0,"5564,18",4.0,,5.0,0.0,9
432138,2022,-23.616213397911,-46.6702596897714,5,kilometer,215.0,"8499,91",14.0,3.0,7.0,9.0,33
432141,2022,-23.6311528879732,-46.6693720568368,5,kilometer,,,,,,,0
432143,2022,-23.630881339898,-46.6698687956192,5,kilometer,845.0,"1925,14",66.0,76.0,91.0,79.0,312
432145,2022,-23.6324075722927,-46.6695472209791,5,kilometer,,,,,,,0
432177,2022,-23.6680615333705,-46.6913595286924,5,kilometer,546.0,"5173,66",15.0,23.0,43.0,44.0,125
432183,2022,-23.6693220130608,-46.6994512144239,5,kilometer,18.0,"4716,67",0.0,,,,0
432184,2022,-23.6643495388609,-46.6900712239522,5,kilometer,528.0,"8524,95",12.0,23.0,25.0,20.0,80
432185,2022,-23.6642447085597,-46.6889930072414,5,kilometer,386.0,"6576,83",15.0,16.0,14.0,21.0,66
432186,2022,-23.6646455097905,-46.6888849317773,5,kilometer,586.0,"8470,03",15.0,21.0,30.0,27.0,93
432187,2022,-23.6575353620432,-46.6806378609685,5,kilometer,517.0,"10300,28",18.0,21.0,23.0,28.0,90
432188,2022,-23.6629435622465,-46.684077278101,5,kilometer,528.0,"7725,2",14.0,13.0,15.0,25.0,67
432189,2022,-23.6608547272679,-46.6851766407035,5,kilometer,639.0,"9898,92",25.0,30.0,36.0,46.0,137
432190,2022,-23.6613656642383,-46.6860030996216,5,kilometer,291.0,"5819,76",11.0,8.0,9.0,14.0,42
432191,2022,-23.6578452805051,-46.6832936710068,5,kilometer,221.0,"11613,03",6.0,15.0,13.0,6.0,40
432194,2022,-23.6598407600436,-46.6899050868942,5,kilometer,393.0,"6982,95",12.0,28.0,20.0,21.0,81
432195,2022,-23.6604572447653,-46.6903804699374,5,kilometer,346.0,"9825,38",13.0,21.0,19.0,20.0,73
432196,2022,-23.6595781007257,-46.6931486492666,5,kilometer,552.0,"12750,43",21.0,43.0,41.0,36.0,141
432197,2022,-23.660227689752,-46.6944497428776,5,kilometer,502.0,"6152,7",17.0,27.0,8.0,16.0,68
432198,2022,-23.6581471645481,-46.6919843327346,5,kilometer,233.0,"9243,9",5.0,10.0,6.0,9.0,30
432199,2022,-23.6587957573287,-46.6909388309548,5,kilometer,593.0,"12434,1",19.0,29.0,31.0,30.0,109
432200,2022,-23.6596062812375,-46.6910213056672,5,kilometer,327.0,"10166,91",11.0,16.0,20.0,22.0,69
432201,2022,-23.6579886486094,-46.6964122367698,5,kilometer,341.0,"9374,01",7.0,12.0,21.0,14.0,54
432202,2022,-23.6555368154388,-46.6910868002912,5,kilometer,137.0,"8509,61",8.0,6.0,3.0,4.0,21
432203,2022,-23.6539499809032,-46.6819641773822,5,kilometer,380.0,"14813,32",11.0,20.0,20.0,16.0,67
432219,2022,-23.6583961296783,-46.695289426902896,5,kilometer,699.0,"13037,16",18.0,46.0,68.0,57.0,189
432220,2022,-23.6636486055803,-46.6920765379016,5,kilometer,504.0,"8421,37",19.0,32.0,51.0,36.0,138
432221,2022,-23.6666191055519,-46.6906155280419,5,kilometer,418.0,"6358,49",9.0,12.0,16.0,16.0,53
432222,2022,-23.6639683668981,-46.6844315421226,5,kilometer,765.0,"13565,81",31.0,47.0,52.0,43.0,173
432224,2022,-23.6556380753678,-46.6901635264788,5,kilometer,507.0,"22584,36",23.0,34.0,21.0,26.0,104
432225,2022,-23.6640413604042,-46.6866412906547,5,kilometer,689.0,"9162,4",22.0,34.0,51.0,41.0,148
432226,2022,-23.6562151817954,-46.6926697980077,5,kilometer,393.0,"10948,55",9.0,9.0,6.0,15.0,39
432229,2022,-23.6571548246242,-46.691063134258705,5,kilometer,718.0,"21732,02",20.0,41.0,65.0,47.0,173
432235,2022,-23.6587196104017,-46.689917788234,5,kilometer,528.0,"7419,02",19.0,26.0,30.0,29.0,104
432236,2022,-23.6582985933184,-46.6929844892495,5,kilometer,555.0,"11373,43",14.0,23.0,28.0,19.0,84
432237,2022,-23.6559332865542,-46.6891269173592,5,kilometer,760.0,"26243,9",15.0,63.0,74.0,62.0,214
