id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,unidade
455426,2022,-23.6219848647824,-46.7314346193536,5,kilometer,162.0,"10286,97",6.0,6.0,7.0,4.0,23.0,chacara
455427,2022,-23.6242332934375,-46.7330886509069,5,kilometer,321.0,"11433,79",14.0,8.0,8.0,8.0,38.0,chacara
455428,2022,-23.6252483985252,-46.729209262689,5,kilometer,294.0,"17948,67",17.0,21.0,18.0,11.0,67.0,chacara
455429,2022,-23.6248231679775,-46.7317662967372,5,kilometer,201.0,"73198,95",6.0,8.0,12.0,12.0,38.0,chacara
455430,2022,-23.619991043623,-46.728359396826,5,kilometer,1295.0,"1417,69",98.0,140.0,133.0,116.0,487.0,chacara
455431,2022,-23.6184227502385,-46.731181031173904,5,kilometer,785.0,"1895,66",83.0,61.0,61.0,57.0,262.0,chacara
455432,2022,-23.6144839318154,-46.7307633031788,5,kilometer,154.0,"11727,66",6.0,5.0,6.0,16.0,33.0,chacara
455433,2022,-23.6123223226752,-46.7278125919548,5,kilometer,90.0,"6019,48",5.0,,3.0,9.0,17.0,chacara
455434,2022,-23.6369290804513,-46.7374611223186,5,kilometer,541.0,"9301,51",27.0,26.0,14.0,21.0,88.0,chacara
455435,2022,-23.6209572290901,-46.7258008137395,5,kilometer,800.0,"1483,98",76.0,68.0,82.0,74.0,300.0,chacara
455436,2022,-23.6273280712167,-46.7278146101818,5,kilometer,224.0,"1458,71",28.0,30.0,23.0,14.0,95.0,chacara
455437,2022,-23.6123132938212,-46.72709447334471,5,kilometer,1259.0,"1644,32",117.0,113.0,96.0,124.0,450.0,chacara
455438,2022,-23.6380350745037,-46.7379765965459,5,kilometer,246.0,"1682,47",19.0,22.0,16.0,14.0,71.0,chacara
455439,2022,-23.6213957388761,-46.7278195393295,5,kilometer,,,,,,,0.0,chacara
455440,2022,-23.6139062229597,-46.73005113757,5,kilometer,171.0,"1927,88",8.0,8.0,16.0,12.0,44.0,chacara
455441,2022,-23.6136720364868,-46.7295415389364,5,kilometer,287.0,"5896,46",16.0,13.0,16.0,8.0,53.0,chacara
455442,2022,-23.6213908658444,-46.7268573324215,5,kilometer,404.0,"2231,65",18.0,33.0,34.0,47.0,132.0,chacara
455443,2022,-23.6181595956081,-46.7458290518542,5,kilometer,695.0,"3380,61",41.0,39.0,44.0,42.0,166.0,chacara
455444,2022,-23.6181445426477,-46.747243942628,5,kilometer,568.0,"2954,97",39.0,44.0,41.0,23.0,147.0,chacara
