id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,unidade
447270,2022,"-23.587.981.595.834.100,00","-4.671.091.484.706.560,00",5,kilometer,352.0,"R$ 29.794,08",15.0,14.0,22.0,26.0,77.0,morumbi
447305,2022,"-23.591.568.633.610.300,00","-4.671.903.498.030.060,00",5,kilometer,237.0,"R$ 26.093,76",13.0,16.0,20.0,24.0,73.0,morumbi
441455,2022,"-23.607.172.452.899.600,00","-4.669.623.404.351.430,00",5,kilometer,325.0,"R$ 26.852,01",22.0,23.0,16.0,11.0,72.0,morumbi
431371,2022,"-2.357.439.925.078.790,00","-4.673.301.168.589.530,00",5,kilometer,289.0,"R$ 30.769,03",18.0,24.0,12.0,13.0,67.0,morumbi
441603,2022,"-23.609.889.820.795.300,00","-4.669.303.488.570.320,00",5,kilometer,278.0,"R$ 39.611,20",13.0,22.0,13.0,18.0,66.0,morumbi
447298,2022,"-2.360.252.060.728.750,00","-46.703.803.461.102.300,00",5,kilometer,357.0,"R$ 28.390,91",11.0,14.0,22.0,19.0,66.0,morumbi
447287,2022,"-23.590.715.762.335.200,00","-4.671.337.271.877.810,00",5,kilometer,352.0,"R$ 36.138,63",5.0,31.0,16.0,13.0,65.0,morumbi
447258,2022,"-23.598.530.425.026.100,00","-4.669.889.584.970.580,00",5,kilometer,266.0,"R$ 36.209,01",15.0,17.0,18.0,14.0,64.0,morumbi
455397,2022,"-2.362.854.339.417.860,00","-4.672.208.568.562.160,00",5,kilometer,259.0,"R$ 31.514,77",6.0,15.0,16.0,27.0,64.0,morumbi
455416,2022,"-2.363.644.536.354.790,00","-4.673.141.154.478.930,00",5,kilometer,279.0,"R$ 34.796,51",,9.0,25.0,29.0,63.0,morumbi
455623,2022,"-23.630.257.214.953.700,00","-4.671.965.064.319.460,00",5,kilometer,267.0,"R$ 29.036,36",12.0,11.0,26.0,13.0,62.0,morumbi
447259,2022,"-23.598.306.346.891.200,00","-4.669.786.160.976.900,00",5,kilometer,285.0,"R$ 39.025,42",14.0,19.0,17.0,10.0,60.0,morumbi
455420,2022,"-2.363.836.329.834.860,00","-46.729.196.120.124.000,00",5,kilometer,270.0,"R$ 23.830,74",9.0,13.0,25.0,12.0,59.0,morumbi
441585,2022,"-23.611.009.309.343.000,00","-4.669.384.751.402.370,00",5,kilometer,184.0,"R$ 36.884,35",14.0,17.0,17.0,10.0,58.0,morumbi
447260,2022,"-23.599.334.230.165.700,00","-4.669.787.882.467.030,00",5,kilometer,202.0,"R$ 33.625,12",5.0,8.0,23.0,19.0,55.0,morumbi
455622,2022,"-23.630.111.512.952.400,00","-46.721.290.263.942.400,00",5,kilometer,299.0,"R$ 38.322,45",20.0,6.0,14.0,14.0,54.0,morumbi
441426,2022,"-23.602.981.663.967.800,00","-4.669.422.732.290.080,00",5,kilometer,225.0,"R$ 24.095,04",23.0,12.0,13.0,5.0,53.0,morumbi
447222,2022,"-23.594.126.648.814.100,00","-4.671.055.201.982.850,00",5,kilometer,268.0,"R$ 24.957,45",10.0,14.0,17.0,10.0,51.0,morumbi
458252,2022,"-23.586.872.431.365.300,00","-4.674.011.217.508.630,00",5,kilometer,279.0,"R$ 36.298,90",9.0,9.0,9.0,23.0,50.0,morumbi
455396,2022,"-23.629.311.438.628.400,00","-46.722.066.248.693.900,00",5,kilometer,236.0,"R$ 27.635,47",8.0,12.0,14.0,16.0,50.0,morumbi
447314,2022,"-23.601.620.434.144.500,00","-4.670.680.751.111.770,00",5,kilometer,266.0,"R$ 26.389,88",5.0,12.0,8.0,22.0,47.0,morumbi
455418,2022,"-23.637.965.871.379.700,00","-4.673.093.091.578.450,00",5,kilometer,152.0,"R$ 29.725,76",,10.0,11.0,23.0,44.0,morumbi
447246,2022,"-23.605.924.835.340.100,00","-4.670.726.721.879.530,00",5,kilometer,269.0,"R$ 26.464,02",3.0,9.0,14.0,17.0,43.0,morumbi
455429,2022,"-2.362.482.316.797.750,00","-46.731.766.296.737.200,00",5,kilometer,201.0,"R$ 73.198,95",6.0,8.0,12.0,12.0,38.0,morumbi
452257,2022,"-23.629.659.244.047.400,00","-4.669.533.804.278.080,00",5,kilometer,286.0,"R$ 33.056,51",8.0,12.0,9.0,9.0,38.0,morumbi
447279,2022,"-23.594.025.436.689.100,00","-4.670.416.565.139.310,00",5,kilometer,200.0,"R$ 26.238,12",8.0,6.0,4.0,11.0,29.0,morumbi
441557,2022,"-2.362.515.379.155.940,00","-4.668.860.847.281.740,00",5,kilometer,319.0,"R$ 33.907,62",5.0,10.0,7.0,6.0,28.0,morumbi
447247,2022,"-2.360.659.357.400.770,00","-4.670.665.948.081.990,00",5,kilometer,193.0,"R$ 27.781,05",3.0,3.0,4.0,17.0,27.0,morumbi
