Bairro,pontos,lat_mediana,lon_mediana,distancia_mediana_km,renda_mediana_2025,criancas_0_9_mediana,populacao_mediana,score_trafego_2025,cluster_predominante,cluster_share,rank_score_trafego,rank_proximidade,score_index_0_100
Parque Arariba,18,-23.641591302118798,-46.752169394511895,4.054857813957074,2654.3863499999998,55.0,447.0,145991.24925,2.0,0.5555555555555556,112,82,7.908309867902574
Jardim Ana Maria,3,-23.6274372735968,-46.7562010617087,4.427873948747865,2848.77285,51.0,345.0,145287.41535,2.0,0.6666666666666666,113,114,7.859782716770196
Várzea de Baixo,3,-23.641944619891,-46.721187004712,1.174595258524812,5768.5089,25.0,316.0,144212.7225,2.0,0.6666666666666666,114,6,7.785685998279035
Jardim Alvorada (Zona Sul),1,-23.6589932290883,-46.6780429963528,4.560799280612446,4499.63745,32.0,306.0,143988.3984,2.0,1.0,115,130,7.770219551574301
Jardim São João,5,-23.660612987057,-46.7361469054731,3.67926395137189,2862.2979,50.0,491.0,143114.895,2.0,0.6,116,60,7.709994217860698
Vila Morse,10,-23.59786927526185,-46.7273364180486,4.286536312272817,6336.80355,22.5,311.0,142578.079875,2.0,0.5,117,101,7.6729824900922265
Jardim Bélgica,3,-23.6605195395847,-46.6986039169702,3.324739723603194,8376.25635,17.0,391.0,142396.35795,2.0,1.0,118,44,7.660453330416142
Vila Maracanã,4,-23.650360244495097,-46.749012505156955,4.052938878040293,4295.20245,33.0,309.0,141741.68085,2.0,0.6666666666666666,119,81,7.615315387252837
Recanto Santo Antônio,4,-23.66667201085085,-46.7390695165827,4.5362244819852,2516.173275,56.0,471.5,140905.7034,1.0,0.5,120,127,7.557677350694196
Jardim Catanduva,2,-23.63236247500615,-46.75879354742475,4.639493402504889,2656.3152,52.0,420.0,138128.3904,2.0,1.0,121,136,7.366190285787379
Jardim Morro Verde,4,-23.6119106238651,-46.7480650468693,4.300813971385471,4465.351275,30.5,278.5,136193.2138875,2.0,1.0,122,103,7.232765903855907
Jardim Santa Josefina,4,-23.6657223710878,-46.7377328864432,4.3116742084058775,2849.21175,44.0,472.0,125365.317,1.0,0.5,123,104,6.486216201283295
Jardim Brasília,19,-23.6552192141497,-46.7489062574589,4.415923850024792,2133.50445,56.0,373.0,119476.24919999999,2.0,0.631578947368421,124,112,6.080183352965781
Jardim Ibirapuera,18,-23.6604693588418,-46.731244094949844,3.494524680394764,2372.1852,50.0,396.0,118609.26,2.0,0.8333333333333334,125,52,6.020407153014998
Campo Grande,1,-23.6623523902776,-46.681866123431504,4.51661858120116,7863.08985,15.0,304.0,117946.34775,2.0,1.0,126,124,5.974701421956499
Vila Gertrudes,12,-23.62082019908765,-46.695504928359455,2.2594851545164403,17479.31955,6.5,235.5,113615.57707500001,0.0,0.5,127,22,5.6761082978324735
Vila Ernesto,1,-23.6396992853123,-46.74296656040711,3.0980222625418046,4130.56875,27.0,426.0,111525.35625000001,2.0,1.0,128,37,5.53199409436086
Jardim Olinda,18,-23.6307035725047,-46.75584887322745,4.3570411849754445,2613.054675,42.5,351.5,111054.8236875,2.0,0.8333333333333334,129,108,5.4995523424458925
Jardim Vergueiro,10,-23.6645876708535,-46.731961248760854,3.967951255420653,2823.738225,39.0,390.0,110125.790775,2.0,0.7,130,74,5.435498422122019
Jardim São Roque,6,-23.6347390063397,-46.74429080431885,3.1656048174173215,2287.922175,47.5,438.0,108676.30331250001,2.0,0.6666666666666666,131,39,5.335560784623705
Jardim Brasil (Zona Sul),6,-23.6382668839235,-46.66945820761405,4.493579403331587,8581.66155,12.5,227.5,107270.769375,2.0,0.8333333333333334,132,122,5.238653605519729
Retiro Morumbi,1,-23.6181174276946,-46.7079709487318,1.8125875270366767,17793.91845,6.0,197.0,106763.51070000001,0.0,1.0,133,13,5.2036797027495805
Parque Regina,44,-23.6356522775962,-46.7529843697672,4.045984958287363,2614.5042,40.0,384.0,104580.16799999999,2.0,0.7209302325581395,134,79,5.053145036578092
Jardim Ingá,7,-23.6317401508743,-46.7462631510866,3.3750072701066394,2660.9583000000002,38.0,351.0,101116.41540000001,2.0,0.7142857142857143,135,46,4.814330103245999
Vila Socorro,5,-23.6635982398527,-46.7162433259839,3.4128390649036513,2915.5434000000005,33.0,297.0,96212.93220000001,2.0,1.0,136,49,4.476250237639244
Jardim São Francisco de Assis,4,-23.66208559179065,-46.7347239484779,3.8367940517760046,2577.2901,32.5,325.0,83761.92825000001,2.0,0.75,137,69,3.617792367918148
Jardim Leni,7,-23.662384729565,-46.7323704390764,3.764315026656258,2087.2467,39.0,299.0,81402.6213,2.0,1.0,138,66,3.455125515795337
Jardim Guarapiranga,1,-23.6776081293715,-46.716723546892304,4.897447012886727,4884.1485,12.0,216.0,58609.78200000001,2.0,1.0,139,145,1.883630369785584
Vila Nova Pirajussara,1,-23.6263001765799,-46.756611185531,4.490530923153873,1591.2204000000002,36.0,156.0,57283.934400000006,2.0,1.0,140,121,1.7922173149956668
Jardim Eliza,1,-23.6376606687602,-46.7477837545259,3.543327510927452,3181.9788000000003,14.0,222.0,44547.7032,2.0,1.0,141,54,0.9140939164220642
Jardim Panorama,5,-23.601725098501,-46.6995218798373,3.8163883004292707,1835.74545,19.0,352.5,34879.16355,2.0,0.5,142,68,0.2474782776684558
Jardim Ymay,1,-23.6597147946596,-46.7402113127951,3.988879134640242,2406.9045,13.0,157.0,31289.7585,2.0,1.0,143,76,0.0
Jardim Nadir,1,-23.6121395246443,-46.7502893681823,4.467370184889636,,0.0,,,,,,118,
Vila Almeida,1,-23.6707200044654,-46.7041881257141,4.2215487460112735,,0.0,,,,,,97,
