CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,distancia_mediana_km,pontos,score_trafego_2025
05756-420,Jardim Umarizal,3747.61,116.5,769.5,1.31,2,436596.03
05717-200,Vila Andrade,12447.97,35.0,424.5,2.34,2,435678.82
05734-100,Vila Andrade,9681.01,45.0,345.0,1.18,1,435645.61
04563-061,Cidade Monções,14465.71,30.0,248.0,4.89,1,433971.15
05625-100,Jardim Colombo,10087.77,43.0,445.0,1.89,1,433774.11
05788-360,Jardim Bom Refúgio,4707.69,92.0,777.0,4.12,1,433107.26
05727-240,Vila Andrade,12706.02,34.0,237.0,1.05,5,432004.56
05628-010,Jardim Colombo,10255.48,42.0,469.0,2.07,3,430729.99
05712-020,Jardim Parque Morumbi,8971.07,48.0,334.0,1.11,3,430611.35
05713-520,Jardim Ampliação,15629.63,27.5,334.5,1.49,6,429814.76
05593-080,Jardim Bonfiglioli,11543.94,37.0,373.0,3.94,1,427125.64
05685-040,Real Parque,8889.05,48.0,464.0,3.71,2,426674.28
05678-020,Cidade Jardim,30305.03,14.0,200.0,4.28,1,424270.4
05734-140,Parque Reboucas,9957.36,42.5,395.0,1.01,6,423188.0
04726-000,Vila Cruzeiro,7145.8,59.0,615.0,3.91,1,421602.21
04715-004,Chácara Santo Antônio (Zona Sul),10279.93,41.0,381.0,3.85,1,421477.02
05716-080,Vila Andrade,18278.15,23.0,307.0,1.28,2,420397.5
05716-110,Vila Andrade,16619.6,25.0,560.0,1.39,1,415489.88
05763-330,Jardim Piracuama,6752.55,61.0,715.0,4.18,1,411905.29
05541-140,Jardim das Vertentes,5997.64,68.0,628.0,2.86,1,407839.37
05713-410,Jardim Ampliação,17614.22,23.0,393.0,1.56,1,405127.14
05756-240,Jardim Umarizal,4102.56,98.0,686.0,2.36,1,402050.88
05713-430,Jardim Ampliação,47180.82,8.5,179.5,1.09,2,401036.97
05734-090,Parque Reboucas,6027.21,66.5,444.0,1.41,4,400809.57
05754-070,Jardim Umarizal,6462.86,62.0,404.5,1.78,2,400697.34
05735-030,Parque Reboucas,4586.74,87.0,607.0,1.87,3,399046.03
05776-430,Vila Franca,3175.53,125.5,840.5,2.33,2,398528.78
05674-020,Cidade Jardim,24849.93,16.0,198.0,4.8,1,397598.86
05716-070,Vila Andrade,17273.16,23.0,311.0,1.58,1,397282.76
05763-907,Chácara Nossa Senhora do Bom Conselho,6389.74,62.0,721.0,3.7,1,396163.71
05735-090,Parque Reboucas,6271.63,63.0,503.0,1.79,1,395112.49
05788-320,Jardim Bom Refúgio,4022.24,98.0,600.0,4.1,1,394179.65
05715-030,Vila Andrade,19209.9,20.5,273.0,1.72,2,393803.0
05749-290,Jardim Novo Taboão,6322.78,62.0,463.5,1.06,2,392012.47
05665-080,Paraisópolis,1637.43,238.0,1295.0,1.09,1,389708.8
04717-001,Chácara Santo Antônio (Zona Sul),12849.42,30.0,324.0,4.42,2,385482.64
04717-000,Chácara Santo Antônio (Zona Sul),12023.82,32.0,571.0,4.76,1,384762.1
04716-090,Chácara Santo Antônio (Zona Sul),19220.76,20.0,291.0,3.8,1,384415.18
05516-090,Caxingui,11985.47,32.0,241.0,4.1,1,383535.03
04581-060,Vila Cordeiro,8917.39,43.0,465.0,5.11,1,383447.57
05777-030,Vila Nova das Belezas,5250.21,73.0,715.0,3.04,1,383265.64
05705-150,Paraíso do Morumbi,21222.4,18.0,340.0,2.04,1,382003.15
05688-090,Vila Morumbi,17305.39,22.0,341.5,3.18,2,380718.54
05688-021,Vila Morumbi,24450.79,15.5,245.0,3.0,2,378987.24
05590-140,Vila Gomes,9007.67,42.0,418.0,4.7,1,378322.21
05763-470,Chácara Nossa Senhora do Bom Conselho,6411.29,59.0,535.0,3.7,2,378266.08
05625-900,Vila Sônia,10793.75,35.0,486.0,1.95,1,377781.33
05623-010,Vila Morse,18373.5,20.5,313.0,2.16,2,376656.7
05713-530,Jardim Ampliação,5162.46,72.5,381.5,1.54,2,374278.57
05642-000,Vila Suzana,18693.4,20.0,281.0,0.48,1,373867.96
05785-110,Jardim Campo Limpo,3271.27,114.0,921.0,3.41,1,372924.99
05639-130,Lar São Paulo,10040.85,37.0,440.0,0.88,1,371511.59
05611-050,Jardim Guedala,21609.22,17.0,259.5,4.23,2,367356.71
05685-090,Real Parque,30565.94,12.0,269.0,3.37,1,366791.32
05521-200,Vila Sônia,7636.68,48.0,385.5,2.1,2,366560.41
05757-900,Jardim Ana Maria,2848.77,128.0,1050.0,2.04,1,364642.92
05623-020,Vila Morse,6286.24,58.0,590.0,2.08,1,364601.78
05730-170,Vila Andrade,8632.04,42.0,328.0,1.81,3,362545.79
05662-020,Paraisópolis,1906.56,189.5,1106.0,1.42,2,361293.93
05630-130,Vila Suzana,14380.92,25.0,284.0,0.49,3,359522.91
05713-510,Jardim Ampliação,15625.9,23.0,478.0,1.56,1,359395.76
04707-110,Jardim das Acácias,14952.12,24.0,245.5,4.96,2,358850.78
05756-220,Jardim Umarizal,4040.36,88.0,812.0,1.72,1,355551.97
05775-230,Parque Regina,3064.12,116.0,959.0,2.63,1,355438.22
05843-220,Jardim São Luís,3821.61,93.0,839.0,3.88,1,355409.38
05846-410,Jardim Casablanca,5147.03,69.0,471.0,3.96,1,355144.83
05685-901,Real Parque,24367.55,14.5,225.5,3.41,2,353329.46
05528-060,Jardim Alvorada (Zona Oeste),5348.93,66.0,569.0,2.93,1,353029.52
05763-460,Chácara Nossa Senhora do Bom Conselho,6709.9,52.5,468.5,3.57,2,352269.92
05588-010,Vila Gomes,10331.98,34.0,417.0,4.48,2,351287.43
05630-090,Vila Suzana,14947.16,23.5,316.5,0.73,2,351258.15
05595-000,Jardim Bonfiglioli,8777.7,40.0,509.5,4.11,2,351107.99
05840-020,Vila das Belezas,6373.21,55.0,584.5,3.32,2,350526.5
04565-000,Cidade Monções,20551.97,17.0,267.0,5.11,1,349383.42
05524-020,Ferreira,9950.09,35.0,502.0,2.15,1,348253.29
05776-450,Vila Franca,2991.28,116.0,757.0,2.35,3,346988.1
05734-150,Vila Andrade,13601.75,25.5,297.0,1.55,6,346844.57
05842-100,Jardim Casablanca,4680.67,74.0,716.0,3.71,1,346369.74
05623-000,Vila Morse,7847.35,44.0,545.0,2.38,1,345283.28
05786-120,Vila Pirajussara,5657.18,61.0,646.0,3.72,1,345087.89
05634-000,Jardim Monte Kemel,8389.7,41.0,406.0,1.26,1,343977.72
05593-011,Jardim Bonfiglioli,13755.89,25.0,376.0,4.06,1,343897.21
05756-310,Jardim Umarizal,4086.63,84.0,656.0,1.97,1,343277.13
05531-050,Instituto de Previdência,9745.57,35.0,410.0,4.57,1,341094.83
05844-040,Jardim São Luís,5496.03,62.0,634.0,4.42,1,340754.04
05712-080,Jardim Parque Morumbi,11731.85,29.0,229.0,1.05,1,340223.79
05615-040,Vila Progredior,12130.41,28.0,452.0,4.07,1,339651.5
05641-070,Vila Suzana,22632.33,15.0,192.0,0.28,1,339484.93
05641-021,Vila Suzana,18840.95,18.0,190.0,0.57,1,339137.08
05734-130,Parque Reboucas,5119.39,66.0,578.0,1.15,1,337879.57
04729-010,Jardim Caravelas,10219.58,33.0,528.0,3.06,2,337246.09
05542-130,Jardim Olympia,2444.89,137.0,825.0,3.05,1,334950.27
05551-060,Jardim Raposo Tavares,2383.13,139.0,962.0,3.71,1,331255.71
04722-000,Granja Julieta,13477.83,24.5,310.5,4.66,2,330206.92
04566-002,Cidade Monções,14273.88,23.0,231.0,4.86,1,328299.3
05588-000,Jardim Esmeralda,10246.44,32.0,388.0,4.63,5,327886.2
05756-450,Jardim Umarizal,6181.29,53.0,588.0,2.18,1,327608.6
05665-010,Vila Suzana,3058.17,107.0,756.0,0.81,5,327224.66
05767-901,Jardim Catanduva,5738.21,57.0,509.0,2.73,1,327078.16
05367-260,Vila Tiradentes,4731.61,69.0,850.0,4.6,1,326480.93
05529-020,Jardim Jaqueline,2020.83,160.5,907.0,3.08,6,324342.96
05752-001,Jardim Maria Duarte,4099.49,79.0,659.0,1.31,4,323859.98
04718-002,Chácara Santo Antônio (Zona Sul),13630.57,23.5,277.0,3.8,2,320318.41
05630-010,Vila Suzana,10321.53,31.0,455.0,0.88,1,319967.44
05641-110,Vila Suzana,16801.07,19.0,185.0,0.29,1,319220.31
05784-020,Parque Esmeralda,4250.13,75.0,846.0,2.37,1,318760.08
05756-280,Jardim Umarizal,2711.46,117.5,744.5,1.89,2,318596.63
05620-010,Vila Inah,15127.22,21.0,425.0,2.96,1,317671.62
05813-060,Jardim São Luís,3450.05,92.0,608.0,4.12,1,317405.0
05684-000,Real Parque,22659.84,14.0,279.0,3.61,2,317237.69
05723-360,Jardim Santo Antônio,1896.94,167.0,1055.0,3.05,1,316788.54
04719-000,Chácara Santo Antônio (Zona Sul),10180.12,31.0,462.0,4.62,1,315583.84
05785-070,Jardim São Mateus,5951.35,53.0,493.0,2.86,6,315421.31
05665-050,Paraisópolis,2189.49,144.0,785.0,0.76,1,315286.17
