CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,distancia_mediana_km,pontos,score_trafego_2025
05846-050,Vila Maracanã,4858.17,33.0,293.5,3.82,2,160319.5
05633-070,Jardim Monte Kemel,7282.71,22.0,286.0,1.83,1,160219.71
05762-510,Parque Ipê,2484.29,64.0,542.0,3.8,1,158994.53
05679-110,Jardim Panorama,1866.71,85.0,506.0,4.2,1,158670.44
05761-280,Jardim Maria Virginia,2934.51,54.0,481.0,3.51,1,158463.46
05365-110,Vila Polopoli,4279.33,37.0,355.0,4.67,1,158335.31
05513-901,Butantã,10194.02,15.5,398.0,3.91,2,158007.29
05640-001,Jardim Londrina,12142.17,13.0,191.0,0.52,2,157848.19
05784-080,Parque Esmeralda,3283.3,48.0,532.0,2.57,1,157598.18
05757-230,Jardim Santa Emília,3742.7,42.0,494.0,2.57,1,157193.26
05634-160,Jardim Monte Kemel,7418.56,21.0,328.0,1.56,1,155789.87
05635-040,Jardim Monte Kemel,4068.86,38.0,392.0,1.43,1,154616.57
05659-020,Paraisópolis,2085.76,74.0,507.0,1.47,9,154346.0
05736-110,Jardim Ingá,2320.01,66.5,348.5,1.74,2,154280.54
05835-000,Vila das Belezas,7659.09,20.0,250.0,3.24,1,153181.88
05633-050,Jardim Monte Kemel,4635.97,33.0,406.0,1.74,1,152987.13
05372-060,Jardim Ester,5452.64,28.0,351.0,4.41,1,152673.91
05777-100,Vila Nova das Belezas,2933.67,52.0,508.0,3.03,1,152550.6
05549-170,Jardim das Esmeraldas,2264.12,67.0,567.0,3.57,1,151696.27
05762-200,Parque Ipê,3226.2,47.0,406.0,3.68,1,151631.58
04711-060,Vila São Francisco (Zona Sul),6581.93,23.0,289.0,4.24,1,151384.37
04713-000,Alto da Boa Vista,10078.25,15.0,281.0,4.71,2,151173.79
05794-260,Jardim Paris,2558.58,59.0,472.0,3.92,1,150956.17
05591-045,Jardim Bonfiglioli,6560.52,23.0,253.0,4.22,1,150891.86
05528-260,Jardim Dracena,3271.99,46.0,486.0,3.48,1,150511.45
05541-080,Jardim das Vertentes,7913.25,19.0,282.0,3.44,1,150351.78
05757-080,Jardim Ana Maria,4690.24,32.0,385.0,2.21,1,150087.54
05655-010,Jardim Morumbi,13616.71,11.0,132.0,2.26,1,149783.82
05749-340,Jardim das Palmas,3255.97,46.0,388.0,1.02,1,149774.53
05775-180,Parque Regina,2878.9,52.0,515.0,2.79,1,149702.55
04576-010,Cidade Monções,3393.45,44.0,449.0,4.43,1,149311.7
05813-090,Jardim São Luís,2714.68,55.0,384.0,4.21,3,149307.25
05724-001,Vila Andrade,13545.45,11.0,154.0,0.8,1,148999.92
05596-150,Cidade dos Bandeirantes,5617.67,26.5,329.0,3.92,4,148868.3
05373-120,Jardim Ester,3573.03,41.5,330.0,4.27,2,148280.63
05842-090,Jardim Casablanca,3292.45,45.0,408.0,3.63,1,148160.45
05634-020,Jardim Monte Kemel,6879.74,21.5,364.0,1.3,2,147914.41
05776-340,Vila Franca,3399.0,43.5,359.5,2.34,2,147856.64
05754-071,Jardim Umarizal,5431.35,27.0,311.0,1.52,1,146646.53
05774-250,Parque Regina,2403.24,61.0,585.0,2.52,1,146597.83
05366-000,Jardim Ester,6340.2,23.0,314.0,3.96,1,145824.58
04567-070,Cidade Monções,8543.32,17.0,247.0,5.01,1,145236.36
05794-360,Jardim Paris,2932.37,49.5,403.5,4.2,2,145152.12
05690-050,Vila Tramontano,9653.41,15.0,194.0,3.49,1,144801.14
05528-020,Jardim Alvorada (Zona Oeste),4668.79,31.0,415.0,2.78,1,144732.4
05759-220,Jardim Martinica,3527.77,41.0,387.0,3.34,1,144638.74
04730-060,Várzea de Baixo,5768.51,25.0,316.0,3.38,1,144212.72
05778-210,Parque Arariba,3430.73,42.0,383.0,3.1,1,144090.71
05592-050,Jardim Bonfiglioli,8469.78,17.0,309.0,4.06,1,143986.2
05760-090,Jardim Faria Lima,2823.0,51.0,244.0,3.44,1,143973.24
05633-030,Jardim Monte Kemel,3587.49,40.0,389.0,1.9,1,143499.51
05750-290,Vila Suzana,5314.42,27.0,355.0,0.61,1,143489.36
05634-100,Jardim Monte Kemel,8433.89,17.0,216.0,1.66,1,143376.14
05686-050,Real Parque,2388.66,60.0,422.0,3.85,5,143319.33
05844-150,Jardim São Luís,2555.17,56.0,454.0,4.33,1,143089.62
05712-040,Jardim Parque Morumbi,2529.07,56.5,279.5,1.1,2,142892.72
04756-050,Santo Amaro,5949.14,24.0,511.0,3.83,1,142779.34
05518-150,Jardim Trussardi,7130.96,20.0,507.0,3.73,1,142619.17
05780-210,Vila Prel,3652.14,39.0,599.0,3.82,1,142433.64
04728-090,Jardim Caravelas,5272.71,27.0,378.0,3.38,1,142363.27
05710-030,Jardim Vazani,7491.86,19.0,172.0,0.97,1,142345.36
05763-320,Jardim Piracuama,4309.7,33.0,345.0,3.93,1,142220.02
05625-150,Vila Sônia,3091.53,46.0,511.0,2.14,1,142210.41
05788-250,Jardim Bom Refúgio,2144.84,66.0,563.0,3.95,2,141559.11
05711-900,Jardim Vazani,5055.46,28.0,510.0,0.51,1,141552.83
05754-030,Umarizal,4158.08,34.0,325.0,1.6,1,141374.75
04703-040,Jardim das Acácias,8818.56,16.0,251.0,4.73,1,141097.02
05590-080,Vila Gomes,7046.69,20.0,318.0,4.41,1,140933.79
05624-040,Vila Morse,6387.37,22.0,281.0,2.46,1,140522.13
05529-050,Jardim Jaqueline,2302.52,61.0,372.0,3.04,1,140453.45
04563-013,Cidade Monções,7372.3,19.0,225.0,5.12,1,140073.62
05761-300,Jardim Maria Virginia,2294.49,61.0,466.0,3.67,2,139964.14
05528-090,Jardim Dracena,4988.42,28.0,314.0,3.02,1,139675.81
05634-050,Jardim Monte Kemel,7333.46,19.0,257.0,1.56,1,139335.83
05778-150,Parque Arariba,2436.16,57.0,513.5,2.98,2,138861.16
05836-180,Jardim Monte Azul,5425.06,25.5,360.5,3.23,2,138338.98
05787-901,Pirajussara,4761.18,29.0,275.0,2.17,1,138074.09
05365-000,Vila Polopoli,5298.07,26.0,305.0,4.39,1,137749.71
05780-340,Vila Prel,3624.49,38.0,459.0,3.65,1,137730.77
05627-020,Vila Sônia,5495.33,25.0,375.0,2.36,2,137383.21
05530-050,Instituto de Previdência,8583.27,16.0,251.0,4.82,1,137332.27
05659-010,Fazenda Morumbi,1715.19,80.0,573.5,1.61,2,137214.92
04571-220,Cidade Monções,7622.02,18.0,243.0,5.17,1,137196.33
05756-350,Jardim Umarizal,4012.2,34.0,437.0,1.86,1,136414.95
05594-110,Jardim Bonfiglioli,6329.56,21.5,301.5,3.93,2,136085.58
05765-200,Jardim Olinda,2556.67,53.0,354.0,2.33,1,135503.69
05596-000,Jardim Pinheiros,7513.53,18.0,244.0,3.93,8,135243.63
05547-050,Jardim Rosa Maria,5003.45,27.0,445.0,4.28,1,135093.11
05632-000,Jardim Monte Kemel,2745.85,49.0,457.0,1.68,1,134546.69
04757-120,Jardim Dom Bosco,6405.02,21.0,375.0,4.4,1,134505.37
05625-060,Vila Sônia,9959.81,13.5,252.0,2.85,2,134457.4
05710-070,Jardim Caboré,7072.06,19.0,227.0,1.21,1,134369.24
05524-160,Ferreira,6105.83,22.0,483.5,2.4,2,134328.31
05528-300,Jardim Dracena,3353.82,40.0,445.0,3.58,1,134152.79
05805-030,Jardim São Luís,3508.29,38.0,402.0,3.94,1,133315.0
04755-050,Santo Amaro,6316.61,21.0,212.0,4.24,3,132648.9
05512-000,Butantã,7797.31,17.0,362.0,2.83,1,132554.31
05752-400,Jardim Maria Duarte,4016.07,33.0,391.5,1.36,2,132530.24
05756-370,Jardim Umarizal,2759.94,48.0,289.0,2.33,1,132477.21
05777-130,Vila Nova das Belezas,2061.04,64.0,518.0,3.54,1,131906.54
05609-010,Jardim Guedala,21939.29,6.0,175.0,5.07,1,131635.77
05712-010,Jardim Parque Morumbi,2577.56,51.0,404.0,1.29,1,131455.34
05529-000,Jardim Jaqueline,2151.93,61.0,350.0,3.1,3,131267.53
05614-000,Jardim Leonor,18748.21,7.0,128.0,3.69,1,131237.5
05763-420,Jardim Piracuama,1986.31,66.0,478.0,3.8,1,131096.54
05723-380,Jardim Santo Antônio,2727.72,48.0,445.5,2.95,2,130930.71
05634-110,Jardim Monte Kemel,4348.64,30.0,334.0,1.42,1,130459.33
05757-180,Jardim Ana Maria,2286.1,57.0,365.0,2.62,1,130307.87
05655-060,Jardim Morumbi,18474.09,7.0,133.0,2.47,1,129318.6
05785-190,Jardim Campo Limpo,3356.06,38.5,459.0,2.94,2,129208.33
05786-020,Vila Pirajussara,3391.77,38.0,499.0,4.06,1,128887.37
05781-250,Jardim São Januário,2525.04,51.0,577.0,4.41,1,128776.93
05638-070,Jardim Londrina,8578.54,15.0,256.0,1.07,1,128678.15
05775-120,Parque Regina,2888.3,44.5,392.0,2.22,4,128529.21
05723-400,Jardim Santo Antônio,2910.35,44.0,297.0,2.86,1,128055.22
05845-260,Jardim Brasília,2411.55,53.0,393.0,4.05,1,127812.02
05802-140,Jardim São Luís,1874.35,68.0,367.0,4.48,3,127455.5
05763-911,Chácara Nossa Senhora do Bom Conselho,10601.63,12.0,168.0,3.85,1,127219.55
05544-110,Jardim Luísa,3015.83,42.0,413.0,3.93,1,126664.95
04726-090,Chácara Japonesa,6651.92,19.0,349.0,3.65,1,126386.52
05366-220,Jardim Esmeralda,1639.63,77.0,538.0,4.44,1,126251.24
05528-240,Jardim Alvorada (Zona Oeste),2832.68,44.5,353.5,3.45,2,126054.17
05528-220,Jardim Dracena,1753.57,71.5,433.5,3.19,4,125380.47
05742-070,Jardim Taboão,5533.6,22.5,206.5,1.47,2,124505.98
05639-170,Lar São Paulo,11213.65,11.0,177.0,0.68,1,123350.18
05373-000,Jardim Ester,3394.7,36.0,453.0,4.31,1,122209.03
05528-200,Jardim Dracena,5947.61,20.5,178.0,3.28,2,121925.98
05844-010,Jardim São Luís,3580.87,34.0,414.0,4.48,1,121749.57
05573-900,Jardim Olympia,7846.36,15.5,248.5,3.33,2,121618.57
05812-030,Jardim São Luís,2618.13,46.0,412.0,4.28,1,120434.02
05774-220,Parque Regina,2672.0,45.0,375.0,2.13,1,120240.0
04719-917,Chácara Santo Antônio (Zona Sul),6677.6,18.0,300.0,3.38,1,120196.76
05547-000,Jardim Rosa Maria,4290.93,28.0,443.0,4.18,1,120146.01
05757-120,Jardim Ana Maria,2669.89,45.0,357.5,2.28,4,120145.15
04709-011,Santo Amaro,8873.1,13.5,299.5,4.94,2,119786.89
05778-090,Parque Arariba,3145.39,38.0,378.0,2.88,1,119524.76
05630-120,Vila Suzana,7438.99,16.0,341.0,1.09,1,119023.77
05756-400,Jardim Umarizal,2457.84,48.0,449.5,2.08,2,117976.32
05763-410,Jardim Piracuama,2163.1,54.5,389.0,3.68,2,117888.71
05757-210,Jardim Ana Maria,2448.29,48.0,549.0,2.41,1,117517.83
05622-040,Vila Sônia,9039.46,13.0,232.0,2.52,1,117512.95
05778-250,Parque Arariba,1987.55,59.0,455.0,3.09,1,117265.28
05767-390,Jardim Catanduva,2547.11,46.0,414.0,2.68,1,117167.06
04567-080,Cidade Monções,8364.13,14.0,211.0,4.93,1,117097.8
05359-000,Vila Butantã,6156.2,19.0,312.0,4.82,1,116967.73
05843-180,Jardim São Luís,2849.33,41.0,491.0,3.94,1,116822.42
05841-130,Vila das Belezas,4168.49,28.0,275.0,3.06,1,116717.65
05766-270,Jardim Olinda,2503.86,46.5,348.0,2.2,2,116429.27
05760-160,Jardim Faria Lima,3749.41,31.0,338.0,3.49,2,116231.62
05712-030,Jardim Parque Morumbi,2834.34,41.0,319.0,1.15,1,116207.75
05516-040,Caxingui,9635.78,12.0,149.0,4.28,1,115629.41
05665-120,Paraisópolis,2424.2,47.5,347.5,1.6,2,115149.53
04726-070,Vila Cruzeiro,10443.15,11.0,174.0,3.86,1,114874.67
05539-040,Conjunto Residencial Butantã,5588.87,20.5,262.0,4.61,2,114571.87
05519-120,Jardim Trussardi,7614.87,15.0,360.0,3.3,1,114223.03
05539-000,Conjunto Residencial Butantã,5393.18,21.0,274.0,4.72,1,113256.78
05766-340,Jardim Olinda,2567.05,44.0,367.5,2.24,2,112950.25
05626-001,Vila Sônia,4181.12,27.0,351.5,2.18,2,112890.17
05741-200,Jardim Taboão,4694.28,24.0,483.0,1.3,1,112662.67
05619-000,Vila Inah,10241.88,11.0,207.0,3.03,1,112660.7
04716-002,Chácara Santo Antônio (Zona Sul),8663.76,13.0,306.0,3.97,1,112628.87
05844-110,Jardim São Luís,3386.98,33.0,557.0,4.28,1,111770.33
05545-010,Jardim Monte Alegre,6204.84,18.0,188.0,4.3,3,111687.21
04750-030,Santo Amaro,10140.26,11.0,295.0,4.84,1,111542.91
05731-320,Vila Ernesto,4130.57,27.0,426.0,2.63,1,111525.36
05727-220,Vila Andrade,8572.49,13.0,149.0,1.35,1,111442.38
05844-220,Jardim São Luís,2587.33,43.0,640.0,4.32,1,111255.06
04727-001,Vila Cruzeiro,4633.4,24.0,409.0,3.63,1,111201.55
05371-140,Jardim Nelly,2918.65,38.0,452.0,3.91,1,110908.71
05763-390,Jardim Piracuama,2707.94,40.5,413.0,4.12,2,109671.72
04726-200,Vila Cruzeiro,12171.04,9.0,275.0,2.99,1,109539.39
05765-140,Jardim Olinda,2596.06,42.0,330.0,2.48,2,109034.47
05767-450,Jardim Catanduva,2656.52,41.0,285.0,3.39,1,108917.45
05849-200,Jardim Germânia,2790.77,39.0,473.0,4.15,1,108839.98
05540-030,Conjunto Residencial Butantã,6044.63,18.0,246.0,4.66,1,108803.43
04705-080,Vila Gertrudes,27195.54,4.0,134.0,4.23,3,108782.15
04715-002,Chácara Santo Antônio (Zona Sul),9882.64,11.0,225.0,4.63,2,108709.06
05762-080,Parque Ipê,3195.39,34.0,292.0,3.47,1,108643.2
05551-050,Jardim Raposo Tavares,2973.02,36.5,287.5,3.7,2,108515.09
05841-150,Vila das Belezas,3094.96,35.0,387.0,3.28,1,108323.64
04729-000,Jardim Caravelas,4914.42,22.0,267.0,3.73,1,108117.26
05532-040,Instituto de Previdência,5972.78,18.0,197.0,4.77,1,107510.08
05756-320,Jardim Umarizal,2283.86,47.0,393.0,1.62,1,107341.53
05675-160,Cidade Jardim,26779.89,4.0,174.0,4.33,1,107119.55
05692-030,Retiro Morumbi,17793.92,6.0,197.0,3.1,1,106763.51
05801-120,Jardim Mirante,3233.56,33.0,315.0,3.36,1,106707.52
05750-220,Super Quadra Morumbi,6182.11,17.0,245.0,1.16,1,105095.94
05750-130,Super Quadra Morumbi,2764.71,38.0,365.0,1.02,5,105059.05
05633-000,Jardim Monte Kemel,4376.58,24.0,322.0,1.5,1,105038.01
05525-000,Jardim Jussara,6990.45,15.0,276.0,1.63,1,104856.79
05773-020,Parque Regina,2327.31,45.0,341.5,2.86,6,104728.85
05617-020,Vila Progredior,9492.68,11.0,222.0,3.41,1,104419.47
05778-110,Parque Arariba,3460.16,30.0,413.0,3.22,1,103804.82
05589-040,Vila Gomes,5188.14,20.0,324.0,4.59,1,103762.89
05365-150,Jardim São Gilberto,5410.51,19.0,247.0,4.29,1,102799.6
05801-110,Jardim Mirante,1825.42,56.0,349.0,3.41,1,102223.51
05633-010,Jardim Monte Kemel,5664.66,18.0,231.0,2.11,1,101963.93
05784-120,Parque Esmeralda,3398.04,30.0,349.0,2.62,1,101941.34
05736-160,Jardim Ingá,2660.96,38.0,351.0,2.04,3,101116.42
05776-530,Jardim São Roque,2225.85,45.0,297.0,2.04,1,100163.1
05734-020,Parque Reboucas,1906.08,52.5,310.5,1.31,2,100069.46
05843-290,Jardim São Luís,2124.32,47.0,277.0,3.66,1,99843.14
05812-070,Jardim São Luís,2558.65,39.0,381.0,4.22,1,99787.29
05551-200,Jardim Raposo Tavares,3562.61,28.0,339.0,3.92,1,99753.05
05841-100,Vila das Belezas,4936.45,20.0,304.0,3.11,1,98728.94
05543-110,Vila Albano,3525.93,28.0,245.0,3.31,1,98725.94
05775-260,Parque Regina,2530.48,39.0,350.0,2.82,3,98688.64
04561-070,Brooklin Paulista,8966.65,11.0,242.0,4.94,1,98633.11
05641-050,Vila Suzana,12326.31,8.0,126.0,0.46,1,98610.48
05632-010,Jardim Monte Kemel,2430.99,40.5,312.5,1.54,2,98454.94
05551-160,Jardim Raposo Tavares,2457.97,40.0,448.0,3.82,1,98318.68
05762-140,Parque Ipê,2725.12,36.0,181.0,3.65,1,98104.27
05595-040,Jardim Bonfiglioli,6512.47,15.0,328.5,4.24,2,97687.01
05544-030,Educandário,2637.58,37.0,368.0,4.07,1,97590.5
05775-160,Parque Regina,2701.29,36.0,384.0,2.69,1,97246.47
05794-340,Jardim Paris,2769.03,35.0,288.0,4.1,3,96916.11
05527-100,Jardim Celeste,3724.09,26.0,368.0,2.37,1,96826.33
05736-190,Jardim São Roque,1936.32,50.0,462.0,2.16,1,96816.14
05368-060,Vila Tiradentes,3020.27,32.0,321.0,4.51,1,96648.55
05849-480,Jardim Germânia,4335.54,22.0,229.0,4.16,1,95381.77
05729-100,Vila Andrade,1909.2,49.0,246.0,2.42,3,93550.97
05539-020,Conjunto Residencial Butantã,6194.88,15.0,245.0,4.57,1,92923.16
05662-000,Jardim Morumbi,9291.63,10.0,182.0,1.85,1,92916.28
05545-030,Jardim Cláudia,3423.72,27.0,300.0,4.36,1,92440.45
05641-020,Vila Suzana,13147.55,7.0,182.0,0.55,1,92032.85
05730-150,Vila Andrade,2626.86,35.0,403.0,2.78,1,91940.19
05524-080,Ferreira,4173.21,22.0,282.0,2.13,1,91810.65
05524-120,Ferreira,5398.68,17.0,246.0,2.32,1,91777.52
04714-001,Chácara Santo Antônio (Zona Sul),10190.47,9.0,194.0,4.12,1,91714.25
05775-200,Parque Regina,2503.17,36.5,332.5,2.84,4,91365.63
05534-030,Instituto de Previdência,4793.27,19.0,232.0,2.1,1,91072.19
05564-100,Jardim Esmeralda,6491.65,14.0,263.0,4.38,1,90883.16
05549-080,Jardim das Esmeraldas,2878.72,31.5,313.0,3.73,2,90679.74
05763-440,Jardim Piracuama,3121.13,29.0,281.0,4.12,1,90512.87
04724-010,Santo Amaro,8211.67,11.0,133.0,4.61,1,90328.36
05752-000,Jardim Maria Duarte,4470.52,20.0,324.0,1.55,1,89410.4
05847-620,Jardim Brasília,1770.23,50.5,344.0,4.27,4,89396.52
05760-110,Jardim Faria Lima,2774.17,32.0,353.0,3.37,1,88773.48
04726-220,Vila Cruzeiro,11798.5,7.5,268.0,3.13,6,88488.74
05368-090,Vila Alba,4389.22,20.0,201.0,4.42,1,87784.39
05624-001,Vila Morse,6258.24,14.0,230.0,2.56,2,87615.37
04710-220,Santo Amaro,7816.55,11.0,332.0,4.09,1,85982.1
05734-010,Parque Reboucas,1742.14,49.0,263.0,1.22,3,85365.07
05709-030,Vila Suzana,14218.05,6.0,88.0,0.37,1,85308.3
05767-000,Jardim Catanduva,2429.9,35.0,291.5,2.71,4,85046.52
05528-170,Jardim Dracena,4451.87,19.0,262.0,3.19,1,84585.47
05786-150,Vila Pirajussara,2484.89,34.0,435.0,4.14,1,84486.26
04713-001,Chácara Santo Antônio (Zona Sul),4215.57,20.0,298.0,4.34,1,84311.3
05765-210,Jardim Olinda,2333.13,36.0,224.0,2.53,1,83992.85
05518-000,Jardim Trussardi,8349.92,10.0,366.0,3.48,1,83499.22
05843-160,Jardim São Luís,2425.29,34.0,263.0,3.78,1,82459.93
05690-010,Vila Tramontano,7459.69,11.0,171.0,3.63,1,82056.64
04726-230,Vila Cruzeiro,5449.6,15.0,157.0,3.02,1,81744.03
05841-140,Vila das Belezas,2040.73,40.0,367.0,3.63,1,81629.39
05625-070,Vila Sônia,6793.49,12.0,227.0,2.66,1,81521.89
05624-100,Vila Morse,4497.15,18.0,250.0,2.37,1,80948.78
04753-020,Santo Amaro,5381.65,15.0,167.0,4.74,1,80724.8
05776-360,Vila Franca,2017.27,40.0,373.0,2.48,1,80690.61
05549-200,Jardim das Esmeraldas,2602.26,31.0,341.0,3.46,1,80670.1
05551-150,Jardim Raposo Tavares,2177.04,37.0,267.0,3.78,3,80550.35
05735-070,Parque Reboucas,1958.2,41.0,267.0,1.77,1,80286.14
05765-160,Jardim Olinda,1783.82,45.0,366.5,2.52,2,80271.75
05766-290,Jardim Olinda,2674.98,30.0,202.0,2.56,5,80249.4
05642-909,Vila Suzana,6133.93,13.0,157.0,0.61,1,79741.06
05633-040,Jardim Monte Kemel,4525.15,17.5,227.0,1.89,2,79190.15
05619-010,Vila Inah,7197.46,11.0,244.0,2.84,2,79172.1
05534-000,Instituto de Previdência,4356.12,18.0,288.0,1.94,3,78410.11
04567-060,Cidade Monções,7837.67,10.0,98.0,5.07,1,78376.68
05632-090,Vila Sônia,5560.08,14.0,207.0,2.43,2,77841.17
05836-300,Jardim Monte Azul,3531.1,22.0,272.0,3.67,1,77684.21
05528-110,Jardim Alvorada (Zona Oeste),3236.3,24.0,218.0,3.06,1,77671.16
05774-260,Parque Regina,2419.64,32.0,348.0,2.48,1,77428.61
05843-310,Jardim São Luís,2757.22,28.0,315.0,3.81,1,77202.05
05368-030,Vila São Domingos,2162.7,35.5,293.0,4.32,2,76775.95
05786-190,Vila Pirajussara,1965.46,39.0,573.0,4.21,1,76653.08
05628-040,Vila Sônia,4244.12,18.0,260.0,1.9,1,76394.1
05767-400,Jardim Catanduva,2382.64,32.0,324.0,3.37,1,76244.41
05762-160,Parque Ipê,2528.05,30.0,235.0,3.82,1,75841.57
05365-180,Jardim Centenário,3023.14,25.0,256.0,4.43,1,75578.58
05759-280,Jardim Martinica,4685.18,16.0,240.0,3.24,1,74962.83
05777-000,Vila Prel,2633.87,28.0,382.0,3.82,3,73748.46
05659-000,Paraisópolis,2431.71,30.0,457.0,1.53,3,72951.42
05632-030,Jardim Monte Kemel,4829.51,15.0,259.0,1.67,1,72442.58
05616-000,Vila Progredior,14319.66,5.0,203.0,3.81,1,71598.28
05705-260,Paraíso do Morumbi,11919.97,6.0,105.0,2.06,1,71519.82
05763-380,Jardim Piracuama,2722.13,26.0,409.0,3.84,3,70775.3
05757-200,Jardim Ana Maria,3294.82,21.0,280.0,2.77,1,69191.27
05368-010,Vila Tiradentes,3637.55,19.0,309.0,4.64,1,69113.36
05625-020,Vila Sônia,8387.46,8.0,166.0,2.96,1,67099.68
05626-020,Vila Sônia,5508.3,12.0,249.0,2.62,2,66099.66
05626-100,Vila Sônia,2727.99,24.0,218.0,1.83,1,65471.87
05632-040,Jardim Monte Kemel,2818.95,23.0,265.0,1.95,3,64835.87
05761-270,Jardim Maria Virginia,1782.13,36.0,250.0,3.73,1,64156.69
05586-000,Vila Indiana,4902.36,13.0,237.0,4.81,1,63730.72
05794-390,Jardim Paris,2174.8,29.0,510.0,3.98,1,63069.08
05615-900,Vila Progredior,20864.59,3.0,62.0,3.66,1,62593.77
05786-010,Vila Pirajussara,4123.79,15.0,168.0,3.59,1,61856.83
05765-240,Jardim Olinda,2751.16,22.0,268.0,2.2,1,60525.6
05523-010,Ferreira,3351.51,18.0,215.0,2.56,1,60327.17
05778-290,Parque Arariba,3284.9,18.0,185.0,2.85,1,59128.22
05781-180,Jardim São Januário,2558.31,23.0,382.0,4.29,1,58841.21
05736-170,Jardim São Roque,2169.99,27.0,139.0,2.23,1,58589.75
05616-072,Vila Progredior,11650.32,5.0,166.0,3.55,1,58251.62
04709-040,Santo Amaro,9652.55,6.0,237.0,4.75,1,57915.33
05756-230,Vila Nova Pirajussara,1591.22,36.0,156.0,2.17,1,57283.93
05778-280,Parque Arariba,3257.49,17.0,178.0,3.34,2,55377.28
04726-180,Vila Cruzeiro,8756.66,6.0,101.0,3.12,1,52539.93
05741-210,Jardim Morro Verde,1911.99,27.0,199.0,1.17,2,51623.8
05528-250,Jardim Dracena,3221.3,16.0,150.0,3.63,1,51540.72
05813-050,Jardim São Luís,2048.9,25.0,230.0,4.42,3,51222.52
05536-900,Jardim Peri Peri,5688.73,9.0,191.0,2.94,1,51198.6
05731-250,Vila Plana,4650.64,11.0,160.0,2.88,1,51157.06
04794-000,Vila Gertrudes,7210.57,7.0,71.0,2.88,1,50474.01
05842-030,Vila das Belezas,1904.98,26.0,181.0,3.6,1,49529.38
05813-030,Jardim São Luís,1944.78,25.0,196.5,4.53,4,48619.58
05718-300,Vila Andrade,12124.2,4.0,141.0,2.1,1,48496.79
05742-130,Jardim Taboão,5331.15,9.0,169.0,1.49,1,47980.31
05616-060,Vila Progredior,7989.89,6.0,265.0,3.81,1,47939.31
04730-030,Várzea de Baixo,4589.15,10.0,167.0,3.25,1,45891.5
05775-190,Parque Regina,3267.08,14.0,161.0,2.52,1,45739.11
05776-460,Jardim Eliza,3181.98,14.0,222.0,2.55,1,44547.7
05521-100,Vila Sônia,4291.68,10.0,119.0,2.71,1,42916.8
05663-030,Paraisópolis,2226.7,19.0,237.0,0.9,5,42307.33
05742-140,Jardim Taboão,6006.64,7.0,63.0,1.2,1,42046.45
05535-050,Rolinópolis,13693.0,3.0,170.0,3.91,1,41079.0
05616-901,Jardim Namba,13551.1,3.0,120.0,3.53,1,40653.29
05537-070,Jardim Peri Peri,4481.37,9.0,183.0,3.14,1,40332.29
05616-100,Vila Progredior,12909.89,3.0,72.0,3.94,1,38729.66
05628-030,Jardim Colombo,3477.08,11.0,169.0,2.05,1,38247.89
05537-060,Jardim Peri Peri,2706.01,14.0,84.0,3.23,1,37884.21
05524-000,Ferreira,3780.83,10.0,148.0,2.24,1,37808.35
05777-180,Vila Nova das Belezas,3070.97,12.0,134.5,3.12,2,36851.59
05540-000,Conjunto Residencial Butantã,4605.63,8.0,215.0,4.91,1,36845.05
05774-280,Parque Regina,2036.84,18.0,166.0,2.42,3,36663.16
05540-080,Conjunto Residencial Butantã,4965.32,7.0,138.0,4.92,1,34757.25
05545-160,Jardim Lúcia,3450.15,10.0,162.0,4.6,1,34501.47
05679-010,Jardim Panorama,1804.78,19.0,199.0,4.35,3,34290.82
05849-210,Jardim Germânia,3295.43,10.0,181.0,4.26,1,32954.34
05545-110,Jardim Monte Alegre,2976.26,11.0,100.0,4.31,1,32738.88
05773-040,Parque Regina,2144.32,15.0,105.0,2.35,3,32164.73
05544-140,Jardim Guarau,2979.77,10.0,169.0,3.73,1,29797.73
05633-020,Jardim Monte Kemel,4608.28,6.0,165.0,1.82,1,27649.66
05743-180,Jardim Nadir,4449.61,6.0,149.0,1.81,1,26697.69
05773-110,Parque Regina,2739.75,8.0,63.0,2.99,1,21918.02
04709-010,Chácara Santo Antônio (Zona Sul),7259.84,3.0,98.0,4.87,1,21779.53
05543-050,Vila Albano,2257.98,9.0,81.0,3.19,1,20321.81
05761-330,Jardim Maria Virginia,2518.48,7.0,73.0,3.74,1,17629.34
05527-150,Jardim Celeste,1521.52,9.0,52.0,2.18,1,13693.65
04711-030,Vila São Francisco (Zona Sul),4233.87,3.0,77.0,3.96,1,12701.62
05785-150,Jardim Campo Limpo,2485.56,5.0,32.0,2.91,1,12427.8
05773-070,Parque Regina,2138.42,5.5,37.0,2.43,2,11761.3
05765-250,Jardim Olinda,1935.95,4.0,89.0,2.44,1,7743.81
05659-900,Paraisópolis,10101.49,0.0,45.0,2.09,1,0.0
05693-000,Jardim Morumbi,24427.98,0.0,104.0,2.71,1,0.0
04571-110,Cidade Monções,9975.1,0.0,95.0,4.79,1,0.0
05725-060,Vila Andrade,8422.5,0.0,120.0,1.11,1,0.0
05609-020,Jardim Guedala,11482.13,0.0,147.0,4.82,1,0.0
04710-180,Santo Amaro,6705.14,0.0,42.0,4.26,1,0.0
04705-000,Vila Gertrudes,18705.36,0.0,253.0,4.47,1,0.0
05640-002,Jardim Londrina,11708.52,0.0,115.0,0.24,1,0.0
