CEP,Bairro,renda_mediana_2025,mediana_criancas_0_18,populacao_mediana,distancia_mediana_km,mediana_0_4,mediana_5_9,mediana_10_14,mediana_15_19,pontos,score_trafego_2025
04664-000,Jardim Marajoara,16777.7,83.0,429.0,3.49,11.0,15.0,22.0,35.0,1,1392549.37
04715-003,Chácara Santo Antônio (Zona Sul),15744.54,88.0,502.0,1.31,20.0,27.0,20.0,21.0,1,1385519.89
04624-080,Vila Congonhas,17946.84,76.5,358.5,4.54,12.5,20.0,18.0,26.0,2,1372933.29
04617-000,Campo Belo,21051.16,65.0,424.0,4.08,14.0,10.0,22.0,19.0,1,1368325.21
05641-030,Vila Suzana,21049.4,65.0,342.0,3.04,16.0,13.0,19.0,13.0,7,1368211.09
04735-900,Santo Amaro,16267.55,84.0,493.0,1.87,12.0,28.0,24.0,20.0,1,1366474.31
05687-002,Real Parque,21828.6,62.0,322.0,2.46,10.0,19.0,16.0,17.0,1,1353373.14
04728-190,Chácara Japonesa,11597.89,116.5,434.5,0.61,27.0,41.5,30.5,17.5,2,1351154.43
04560-914,Brooklin Paulista,15822.33,85.0,487.0,3.86,29.0,19.0,19.0,18.0,1,1344898.34
04742-001,Santo Amaro,13369.03,100.5,474.0,2.83,17.0,25.5,29.5,28.5,2,1343587.78
04736-001,Santo Amaro,16089.43,83.5,373.0,2.09,16.5,20.5,25.0,21.5,2,1343467.17
04638-010,Jardim Petrópolis,13128.35,102.0,581.0,2.81,22.0,19.0,26.0,35.0,1,1339092.08
05749-350,Jardim das Palmas,8795.29,152.0,679.0,3.53,41.0,39.0,36.0,36.0,1,1336884.13
05653-000,Jardim Leonor,21158.75,63.0,331.0,3.43,10.0,20.0,18.0,15.0,1,1333000.95
04635-080,Vila Alexandria,18101.74,73.0,336.5,4.47,20.5,25.5,16.5,10.5,2,1321427.26
04559-012,Brooklin Paulista,15920.76,83.0,465.0,4.31,22.0,16.0,21.0,24.0,1,1321423.29
05685-090,Real Parque,30565.94,43.0,269.0,3.15,3.0,9.0,14.0,17.0,1,1314335.55
05687-010,Real Parque,15533.21,84.0,513.0,2.63,14.0,21.0,26.0,27.0,3,1304789.96
04642-050,Jardim dos Estados,14926.94,87.0,400.0,2.83,10.0,20.0,27.0,30.0,1,1298644.02
04618-032,Campo Belo,18895.34,68.5,301.0,3.97,19.5,16.0,16.5,18.0,4,1294331.05
05640-020,Parque Bairro Morumbi,14839.84,87.0,446.0,3.34,21.0,19.0,20.0,22.0,3,1291066.45
04637-000,Jardim Petrópolis,12761.05,101.0,438.0,3.17,14.0,34.0,31.0,22.0,1,1288866.27
04561-004,Brooklin Paulista,24259.68,53.0,225.0,3.91,29.0,12.0,13.0,5.0,3,1285762.92
05691-010,Vila Tramontano,17560.22,73.0,350.0,2.03,23.0,16.0,15.0,19.0,1,1281895.75
04639-040,Jardim Petrópolis,18048.21,71.0,403.0,3.11,16.0,15.0,23.0,17.0,1,1281423.25
05685-010,Real Parque,20002.97,64.0,372.0,2.92,13.0,18.0,14.0,19.0,1,1280190.17
05750-260,Vila Praia,10621.5,119.5,538.0,3.52,38.5,30.5,30.0,25.0,4,1269269.4
05641-010,Vila Suzana,21478.15,59.0,292.0,2.82,8.0,13.0,14.0,10.0,5,1267210.79
04705-010,Vila Gertrudes,24627.82,51.0,238.0,2.39,23.0,10.0,10.0,8.0,1,1256018.94
04618-031,Campo Belo,27260.16,46.0,287.0,3.91,9.0,10.5,14.0,12.5,2,1253967.35
05622-001,Vila Sônia,17490.25,71.5,356.5,4.12,17.5,17.5,19.5,17.0,2,1250552.99
04566-000,Cidade Monções,17093.82,72.0,308.0,3.51,22.0,20.0,10.0,7.5,5,1230754.69
04564-001,Cidade Monções,17242.26,71.0,382.0,3.73,14.0,15.0,22.0,20.0,1,1224200.16
05717-230,Vila Andrade,21088.42,58.0,279.0,1.67,12.5,12.0,21.0,14.5,4,1223128.54
04724-903,Santo Amaro,14681.59,83.0,439.0,1.22,19.0,16.0,23.0,25.0,1,1218571.65
05657-110,Jardim Vitória Régia,20607.18,59.0,238.0,1.62,12.0,19.0,13.0,15.0,1,1215823.33
04560-020,Brooklin Paulista,18406.18,66.0,351.0,4.25,14.0,16.0,22.0,14.0,1,1214808.14
04610-010,Parque Colonial,16594.6,73.0,381.0,4.06,23.0,24.0,15.0,11.0,1,1211405.88
04555-030,Brooklin Paulista,22385.81,54.0,343.0,3.35,7.0,18.0,17.0,12.0,1,1208833.51
04558-000,Brooklin Paulista,12989.05,93.0,450.0,4.49,25.0,20.0,29.0,19.0,1,1207981.57
04564-040,Cidade Monções,17893.94,67.0,332.0,3.65,21.0,15.0,11.0,20.0,1,1198894.08
05728-040,Vila Andrade,16395.07,73.0,382.0,2.66,29.5,20.0,13.5,10.0,2,1196840.46
05642-000,Vila Suzana,18693.4,64.0,281.0,2.71,13.0,7.0,24.0,20.0,1,1196377.46
04562-040,Brooklin Paulista,15119.03,79.0,472.0,3.89,21.0,22.0,25.0,11.0,1,1194403.44
04617-010,Campo Belo,19209.9,62.0,519.0,4.02,16.0,10.0,16.0,20.0,1,1191013.94
04648-007,Vila Nova Caledônia,9743.59,122.0,715.0,4.33,27.0,41.0,28.0,26.0,1,1188718.17
05658-060,Jardim Leonor,19028.64,62.0,351.0,3.63,9.0,20.0,17.0,16.0,1,1179775.47
05622-010,Vila Sônia,17585.7,67.0,312.0,3.97,11.0,17.0,19.0,13.0,3,1178241.57
04642-000,Jardim dos Estados,20259.88,58.0,281.0,3.27,5.0,8.0,18.0,27.0,1,1175072.93
04601-000,Brooklin Paulista,17583.51,66.0,270.0,3.12,13.0,16.0,19.0,18.0,5,1160511.8
04578-910,Brooklin Paulista,22721.11,51.0,278.0,3.11,15.0,18.0,6.0,12.0,1,1158776.8
04562-904,Brooklin Paulista,19305.36,60.0,318.0,3.95,18.0,14.0,15.0,13.0,1,1158321.78
04741-140,Jardim Santo Amaro,16485.65,70.0,465.0,2.66,12.0,10.0,25.0,23.0,1,1153995.5
04663-060,Jardim Marajoara,17109.38,67.0,380.0,3.91,11.0,20.0,20.0,16.0,1,1146328.77
05639-110,Lar São Paulo,11813.43,97.0,415.0,4.05,20.0,26.0,28.0,23.0,1,1145902.94
04638-110,Jardim Petrópolis,11345.52,101.0,404.0,3.19,21.0,27.0,29.0,24.0,1,1145897.4
05662-060,Paraisópolis,8707.98,131.5,430.5,3.09,42.0,34.0,52.0,29.5,2,1145099.88
05717-170,Vila Andrade,18968.18,60.0,325.0,1.84,14.0,11.0,21.0,17.0,3,1138091.03
04576-020,Cidade Monções,21333.45,53.0,325.0,3.22,27.0,12.0,8.0,6.0,1,1130672.88
04560-011,Brooklin Novo,22584.21,50.0,343.0,4.12,12.0,8.0,14.0,16.0,1,1129210.58
05621-025,Jardim Leonor,16832.85,67.0,319.0,4.07,18.0,18.0,15.0,16.0,1,1127801.25
04710-041,Santo Amaro,13564.72,83.0,551.0,2.02,23.0,24.0,21.0,15.0,1,1125872.11
