CEP,Bairro,renda_mediana_2025,mediana_criancas_0_18,populacao_mediana,distancia_mediana_km,mediana_0_4,mediana_5_9,mediana_10_14,mediana_15_19,pontos,score_trafego_2025
04560-902,Brooklin Novo,13270.13,37.0,386.0,4.18,12.0,15.0,5.0,5.0,1,490994.81
05639-100,Lar São Paulo,10019.23,49.0,273.0,4.02,8.0,17.0,11.0,13.0,1,490942.38
04741-000,Jardim Santo Amaro,13795.25,35.5,355.0,1.86,17.5,7.5,5.5,5.0,2,489731.4
05820-230,Jardim Novo Santo Amaro,2878.85,170.0,557.0,4.12,42.0,41.0,41.0,46.0,5,489404.34
05743-230,Jardim Jamaica,4253.74,115.0,573.0,4.7,20.0,24.0,29.0,42.0,1,489179.86
05818-310,Jardim Vergueiro,3872.04,126.0,451.5,3.89,25.0,36.0,32.0,33.0,2,487876.95
05853-410,Jardim Duprat,1938.21,251.0,716.0,4.53,55.0,73.0,57.0,66.0,1,486489.58
04619-005,Campo Belo,15684.69,31.0,278.0,4.31,6.0,8.0,8.0,9.0,1,486225.46
05844-210,Jardim São Luís,2460.62,196.0,762.0,4.03,48.0,48.0,50.0,50.0,1,482282.22
04563-013,Cidade Monções,13303.73,36.0,282.5,3.71,12.0,7.0,9.0,8.0,2,478934.45
05843-300,Jardim São Luís,4499.11,106.0,540.5,3.14,25.5,26.0,25.0,29.5,2,476905.25
05812-000,Jardim São Luís,2832.91,168.0,834.5,3.23,37.5,42.0,44.0,44.5,2,475928.7
04565-000,Cidade Monções,16684.04,28.5,191.5,3.67,7.0,9.0,4.5,8.0,4,475495.1
05630-080,Vila Suzana,13978.12,34.0,245.0,3.41,12.0,8.0,5.0,9.0,1,475256.14
05846-260,Conjunto Promorar São Luis,2111.99,225.0,837.0,4.29,56.0,62.0,54.0,53.0,1,475197.03
05730-170,Vila Andrade,8632.04,55.0,328.0,2.67,25.0,27.0,9.0,4.0,3,474762.35
04704-080,Jardim das Acácias,10778.06,44.0,383.0,2.6,14.0,15.0,6.0,9.0,1,474234.45
05640-003,Jardim Londrina,16324.74,29.0,197.0,3.25,11.0,5.5,8.5,6.5,4,473417.33
05723-330,Jardim Santo Antônio,2594.96,182.0,737.0,2.19,40.0,43.0,48.0,51.0,1,472283.01
05815-035,Jardim São João,2862.3,165.0,704.0,3.67,49.0,33.0,36.0,47.0,1,472279.15
04671-072,Vila Sofia,10223.33,46.0,321.0,3.83,8.0,12.0,13.0,16.0,3,470273.29
05652-000,Jardim Leonor,16786.23,28.0,276.0,4.11,4.0,8.0,7.0,9.0,1,470014.36
05662-070,Paraisópolis,1903.59,246.0,689.0,2.95,59.0,60.0,62.0,65.0,1,468283.18
04753-110,Jardim Promissão,6592.23,71.0,515.0,2.6,19.0,15.0,17.0,20.0,1,468048.46
04601-071,Brooklin Paulista,11340.06,41.0,211.0,4.48,9.0,8.0,10.0,14.0,1,464942.28
05847-000,Jardim Iracema,3273.4,142.0,666.0,4.29,23.0,36.0,38.0,45.0,3,464822.38
04555-002,Brooklin Paulista,12224.75,38.0,246.0,3.94,5.0,9.0,11.0,13.0,1,464540.54
05711-000,Jardim Vazani,8922.88,52.0,366.0,4.05,9.0,11.5,15.0,18.5,4,463989.93
04608-011,Campo Belo,14953.67,31.0,234.0,4.17,11.0,6.0,7.0,7.0,1,463563.75
05724-002,Vila Andrade,14442.58,32.0,196.5,2.43,8.5,7.5,7.5,7.0,4,462162.44
05845-220,Jardim Brasília,2560.5,180.0,660.0,3.82,36.0,43.0,47.0,54.0,1,460889.35
05776-450,Vila Franca,2991.28,154.0,757.0,3.39,50.0,42.0,23.0,15.0,3,460656.62
04674-225,Jardim Taquaral,9389.49,49.0,332.0,4.18,13.5,11.0,14.0,19.5,5,460085.09
05778-140,Parque Arariba,2653.25,173.0,710.0,4.22,41.0,37.0,49.0,46.0,1,459013.02
05843-350,Jardim São Luís,2620.48,175.0,721.0,3.34,41.0,35.0,45.0,54.0,1,458583.22
04582-020,Vila Cordeiro,11166.46,41.0,249.0,3.22,9.0,18.0,11.0,3.0,1,457824.83
05640-900,Jardim Londrina,12199.83,37.5,195.0,3.43,10.5,5.5,10.0,11.5,2,457493.7
05664-015,Paraisópolis,2296.87,198.5,600.0,2.02,42.5,49.5,44.0,58.0,4,455928.23
05812-010,Jardim São Luís,2863.26,159.0,645.0,3.36,36.0,41.0,44.0,38.0,1,455257.79
04632-040,Jardim Aeroporto,9474.19,48.0,263.0,4.81,14.0,13.0,13.0,8.0,1,454761.01
04747-130,Santo Amaro,8399.19,54.0,397.0,2.83,15.0,15.0,11.0,13.0,1,453556.51
04902-100,Parque Alves de Lima,4674.87,97.0,498.0,4.39,25.0,25.0,17.0,30.0,1,453462.78
04711-000,Vila São Francisco (Zona Sul),8496.16,53.0,303.0,1.38,7.0,14.0,11.0,21.0,1,450296.32
05773-010,Parque Regina,2951.63,152.0,548.0,4.21,31.5,34.5,42.0,44.0,2,448647.09
04709-111,Santo Amaro,16006.89,28.0,337.0,1.5,15.0,3.0,3.0,7.0,1,448192.95
05749-300,Jardim das Palmas,3330.58,134.5,502.5,3.62,29.0,35.5,31.0,39.0,4,447963.16
05724-001,Vila Andrade,13545.45,33.0,154.0,2.78,6.0,5.0,6.0,16.0,1,446999.76
05756-360,Jardim Umarizal,1820.36,245.0,816.0,4.09,105.0,54.0,53.0,33.0,1,445988.41
04558-003,Brooklin Paulista,8476.98,52.5,309.5,4.45,13.5,11.5,12.5,15.0,2,445041.35
05641-060,Vila Suzana,14803.27,30.0,238.0,3.23,8.5,5.5,8.5,7.5,2,444097.96
05735-120,Parque Reboucas,5009.51,88.5,409.0,3.83,33.5,22.5,17.5,15.0,2,443341.32
05752-520,Jardim Maria Duarte,5203.52,85.0,490.0,4.54,14.0,21.5,25.0,24.5,2,442299.48
05750-140,Super Quadra Morumbi,6695.42,66.0,388.0,4.12,13.0,16.0,18.0,19.0,1,441897.69
05842-050,Jardim Casablanca,3381.34,130.5,492.0,3.64,32.0,26.5,31.5,40.5,2,441265.31
05642-900,Vila Suzana,8450.27,52.0,254.0,2.85,9.0,16.0,20.0,7.0,1,439413.98
05742-080,Jardim Taboão,8058.08,54.5,299.5,4.56,19.5,13.0,13.5,8.5,2,439165.51
04618-900,Campo Belo,13305.93,33.0,248.0,4.21,6.0,7.0,7.0,13.0,1,439095.85
04560-010,Brooklin Novo,14635.0,30.0,236.5,4.18,9.0,10.5,5.0,5.5,2,439050.15
05836-350,Jardim Monte Azul,4618.94,95.0,451.0,2.84,21.0,20.0,27.0,27.0,3,438799.05
05752-460,Vila Analia,4849.82,90.0,527.0,4.32,17.0,21.5,29.0,22.5,2,436483.97
04649-090,Jardim Prudência,5307.71,82.0,360.0,4.78,20.0,21.0,24.0,17.0,1,435232.23
05731-262,Jardim Bronzato,3566.96,122.0,637.0,3.26,19.0,35.0,30.0,38.0,1,435169.53
04563-060,Cidade Monções,6212.94,70.0,300.0,3.08,12.0,15.0,22.0,19.0,3,434905.89
05836-160,Jardim Monte Azul,3585.92,121.0,554.0,2.99,23.0,36.0,22.0,40.0,1,433895.95
04571-150,Cidade Monções,12033.62,36.0,339.0,3.66,8.0,14.0,8.0,6.0,1,433210.38
05844-170,Jardim São Luís,3157.65,137.0,582.0,3.36,28.0,36.0,37.0,36.0,1,432598.67
04736-000,Santo Amaro,4313.2,100.0,473.0,2.33,13.0,21.0,36.0,30.0,1,431319.74
05766-280,Jardim Olinda,3018.48,142.5,590.5,4.34,34.0,38.0,34.5,36.0,2,430132.97
05692-030,Retiro Morumbi,17793.92,24.0,197.0,1.81,3.0,3.0,8.0,10.0,1,427054.04
04618-910,Campo Belo,14192.79,30.0,234.0,4.27,8.0,5.0,5.0,12.0,1,425783.7
04563-000,Cidade Monções,25786.11,16.5,267.0,3.92,8.5,2.0,,6.0,2,425470.88
05843-330,Jardim São Luís,2658.69,160.0,639.0,3.36,35.0,47.0,28.0,50.0,1,425391.12
04750-060,Santo Amaro,8763.29,48.5,323.5,1.7,10.0,13.5,14.0,11.0,2,425019.34
05728-020,Vila Andrade,5444.79,78.0,371.0,2.82,24.0,24.0,14.0,16.0,1,424693.27
05845-250,Jardim Brasília,3534.6,120.0,613.0,3.74,29.0,39.0,26.0,26.0,1,424152.04
04560-908,Brooklin Paulista,17641.71,24.0,247.0,3.56,14.0,8.0,6.5,6.5,2,423400.96
04705-050,Vila Gertrudes,10558.35,40.0,325.0,2.29,10.0,13.0,10.0,7.0,1,422334.07
05774-300,Parque Regina,2398.48,176.0,692.0,3.66,51.0,44.0,39.0,42.0,1,422133.28
05801-060,Jardim Mirante,3760.98,112.0,619.0,2.51,28.0,31.0,31.0,22.0,1,421229.79
04607-020,Campo Belo,11379.55,37.0,200.0,4.32,15.0,4.0,7.0,11.0,1,421043.17
05661-040,Paraisópolis,2158.67,194.0,699.0,3.22,41.0,56.5,43.0,55.0,9,418782.35
05846-350,Conjunto Promorar São Luis,1851.56,226.0,812.0,4.21,41.0,50.0,68.0,67.0,1,418451.97
04618-911,Campo Belo,14420.81,29.0,186.0,4.14,9.0,10.0,4.0,6.0,1,418203.5
04744-001,Santo Amaro,7437.43,56.0,396.0,2.52,12.0,19.0,11.0,14.0,1,416495.86
05634-160,Jardim Monte Kemel,7418.56,56.0,328.0,4.47,8.0,13.0,14.0,21.0,1,415439.64
05736-020,Jardim Ingá,2387.35,174.0,484.0,3.27,40.0,39.5,46.0,48.5,2,415398.96
04763-290,Socorro,5384.33,77.0,407.0,4.12,15.0,23.0,23.0,16.0,1,414593.63
04696-040,Jurubatuba,5838.89,71.0,480.0,3.99,22.0,17.0,13.0,21.5,3,414561.52
04719-020,Chácara Santo Antônio (Zona Sul),11355.24,36.5,345.5,0.87,8.5,12.0,9.5,6.5,2,414466.19
04567-000,Cidade Monções,13797.75,30.0,272.0,3.45,9.0,16.0,,5.0,1,413932.37
04624-110,Vila Congonhas,4419.53,93.5,272.0,4.34,22.0,26.0,24.5,21.0,2,413225.74
05778-181,Parque Arariba,2849.12,145.0,631.0,4.49,33.0,31.0,39.0,42.0,3,413122.31
05752-440,Jardim Maria Duarte,2592.24,159.0,624.0,3.95,31.0,33.0,47.0,48.0,1,412165.49
04565-001,Cidade Monções,12867.4,32.0,159.0,3.51,8.5,13.0,6.0,5.0,3,411756.95
05634-010,Jardim Monte Kemel,7086.64,58.0,406.0,4.27,12.0,15.0,16.0,15.0,1,411025.18
04764-070,Socorro,4799.88,85.0,426.0,4.52,10.0,26.0,21.0,23.0,3,407989.77
04622-011,Brooklin Paulista,5260.85,77.5,311.5,4.16,11.0,23.0,19.5,24.0,2,407716.01
05741-220,Jardim Morro Verde,7323.69,55.5,310.0,4.25,13.5,17.0,11.0,14.0,2,406464.98
05849-330,Jardim Germânia,4363.3,93.0,514.0,4.54,32.0,22.0,18.0,21.0,1,405787.02
05813-070,Jardim São Luís,2427.11,167.0,699.0,3.01,42.0,40.0,41.0,44.0,1,405326.61
04756-050,Santo Amaro,5949.14,68.0,511.0,1.48,9.0,15.0,20.0,24.0,1,404541.48
05777-170,Vila Nova das Belezas,1720.61,235.0,771.0,4.14,46.5,64.5,55.5,68.5,2,404343.18
04557-051,Brooklin Paulista,5460.86,74.0,337.0,4.66,18.0,16.0,19.0,21.0,1,404103.87
04755-000,Santo Amaro,3995.01,101.0,577.0,1.83,20.0,25.0,22.0,34.0,1,403495.65
04562-001,Brooklin Paulista,7829.98,51.5,302.0,3.87,10.5,13.5,14.5,13.0,2,403244.06
04660-040,Campo Grande,7863.09,51.0,304.0,4.52,6.0,9.0,22.0,14.0,1,401017.58
04752-030,Santo Amaro,5409.07,74.0,443.0,2.23,19.0,15.0,21.0,19.0,1,400271.39
04756-100,Santo Amaro,6339.86,63.0,572.0,1.64,21.0,14.0,11.0,17.0,1,399411.45
05836-130,Jardim Monte Azul,5394.14,74.0,379.0,2.81,14.0,19.0,20.0,21.0,1,399166.27
05634-020,Jardim Monte Kemel,6879.74,58.0,364.0,4.21,10.0,11.5,19.5,17.0,2,399024.93
04606-004,Campo Belo,19854.01,20.0,206.0,4.41,3.0,8.0,5.0,4.0,1,397080.22
04705-070,Vila Gertrudes,14965.61,26.5,214.5,2.34,11.0,16.0,3.0,6.0,2,396588.72
05772-040,Parque Regina,3702.69,107.0,471.0,4.44,25.5,27.5,26.5,27.5,2,396187.56
04705-030,Vila Gertrudes,11633.47,34.0,294.0,2.43,11.0,9.0,8.0,6.0,1,395538.04
05844-060,Jardim São Luís,3591.2,110.0,438.0,3.64,22.0,27.0,31.0,30.0,1,395031.48
05711-160,Jardim Taboão,7173.27,55.0,352.0,4.7,11.0,16.0,12.0,16.0,1,394529.64
05625-030,Vila Sônia,12315.33,32.0,247.0,4.09,10.0,7.0,9.0,6.0,1,394090.44
05634-150,Jardim Monte Kemel,5468.98,72.0,396.0,4.34,19.0,15.0,18.0,20.0,1,393766.76
05614-000,Jardim Leonor,18748.21,21.0,128.0,4.21,4.0,3.0,4.0,10.0,1,393712.5
05757-120,Jardim Ana Maria,4557.81,86.0,329.0,4.46,24.0,21.0,23.0,18.0,2,391971.58
05846-150,Conjunto Promorar São Luis,2036.54,191.5,697.0,4.42,42.5,47.0,44.5,57.5,2,389996.73
04709-110,Santo Amaro,15590.03,25.0,258.5,1.71,9.5,7.0,6.0,6.0,2,389750.85
05752-570,Jardim Maria Duarte,5562.61,70.0,346.0,4.26,8.0,24.0,18.0,20.0,1,389382.49
05815-080,Jardim São Francisco de Assis,2495.7,156.0,619.0,3.89,26.0,31.0,46.0,53.0,1,389329.34
05665-040,Paraisópolis,2139.11,182.0,547.0,2.25,50.0,49.0,33.0,50.0,1,389317.33
05728-050,Vila Andrade,3787.58,102.5,414.5,3.07,34.0,25.0,24.5,18.0,6,388226.94
05629-010,Jardim Colombo,7393.76,52.5,339.0,3.73,12.0,14.0,12.5,14.0,2,388172.17
05655-060,Jardim Morumbi,18474.09,21.0,133.0,2.46,3.0,4.0,5.0,9.0,1,387955.81
04571-220,Cidade Monções,8161.71,47.5,297.5,4.29,7.0,12.0,13.0,15.5,2,387681.19
05632-070,Jardim Monte Kemel,4189.1,92.5,410.0,4.12,21.0,24.0,25.0,22.5,2,387491.6
05630-120,Vila Suzana,7438.99,52.0,341.0,3.98,7.0,9.0,19.0,17.0,1,386827.24
05844-180,Jardim São Luís,3274.26,118.0,563.0,3.49,36.0,23.0,29.0,30.0,1,386363.07
04557-050,Brooklin Paulista,6536.66,59.0,360.0,4.6,19.0,7.0,18.0,15.0,1,385663.22
04717-010,Chácara Santo Antônio (Zona Sul),9874.11,39.0,431.0,1.17,12.0,9.0,8.0,10.0,1,385090.16
04766-050,Socorro,3405.96,113.0,626.0,3.98,17.0,29.0,29.0,38.0,1,384873.07
05815-170,Jardim Dinar,2983.17,129.0,511.0,3.67,27.0,38.0,31.0,33.0,1,384828.76
04563-004,Cidade Monções,14196.22,27.0,174.0,3.75,8.0,8.0,7.0,4.0,1,383297.95
04650-050,Jardim Umuarama,6279.78,61.0,338.0,4.66,13.0,13.0,19.0,16.0,1,383066.65
05774-200,Parque Regina,3204.48,119.0,487.0,3.8,22.0,35.0,34.0,28.0,1,381332.91
04581-001,Vila Cordeiro,7331.15,52.0,364.0,2.97,8.0,17.0,15.0,12.0,1,381220.04
05729-080,Vila Andrade,1905.29,200.0,602.5,2.8,44.5,50.0,45.5,61.0,6,381058.75
04562-002,Brooklin Paulista,12676.06,30.0,210.0,3.82,9.0,9.0,6.0,6.0,1,380281.67
05750-300,Jardim Taboão,1935.91,196.0,579.0,3.53,42.0,48.0,44.0,62.0,1,379437.78
05842-020,Jardim Casablanca,2849.47,133.0,505.0,3.39,25.0,34.0,31.0,43.0,1,378978.96
04635-010,Vila Alexandria,8369.65,45.0,323.0,4.66,9.0,12.0,8.0,16.0,1,376634.24
04714-002,Chácara Santo Antônio (Zona Sul),5948.13,63.0,362.0,0.93,23.0,7.0,16.0,17.0,1,374732.47
05665-000,Paraisópolis,1963.5,190.5,576.5,2.19,45.5,51.0,45.0,54.0,4,374046.75
04707-061,Jardim das Acácias,17733.02,21.0,267.0,2.19,7.0,3.0,3.0,8.0,1,372393.32
04674-130,Jardim Itapeva,4895.01,76.0,467.0,4.34,9.0,13.0,28.0,26.0,1,372020.42
05653-160,Jardim Leonor,17654.42,21.0,295.0,3.59,6.5,4.0,0.0,10.5,2,370742.77
04703-040,Jardim das Acácias,8818.56,42.0,251.0,2.45,10.0,6.0,14.0,12.0,1,370379.67
04688-000,Jardim Jua,4934.84,75.0,452.0,4.17,16.0,20.0,22.0,17.0,1,370113.11
05639-170,Lar São Paulo,11213.65,33.0,177.0,3.75,4.0,7.0,11.0,11.0,1,370050.53
05836-270,Jardim Monte Azul,1850.01,200.0,682.0,2.77,48.0,48.0,46.0,58.0,1,370001.94
04746-070,Santo Amaro,5058.26,73.0,459.0,2.84,16.0,16.0,15.0,26.0,1,369253.33
04728-170,Jardim Caravelas,8578.14,43.0,327.0,0.71,7.0,12.0,9.0,15.0,1,368859.97
04763-060,Socorro,5751.78,64.0,391.0,4.14,17.0,14.0,11.0,22.0,1,368114.21
04735-000,Santo Amaro,8955.52,41.0,251.5,2.14,10.0,7.5,9.5,14.0,2,367176.23
04571-160,Cidade Monções,12159.14,30.0,267.0,3.68,7.0,9.0,5.0,9.0,1,364774.06
05735-110,Parque Reboucas,1856.69,196.0,614.0,3.69,43.0,58.0,48.0,47.0,1,363910.38
04611-001,Brooklin Paulista,12115.59,30.0,207.0,4.2,6.0,11.0,4.0,9.0,1,363467.76
04748-020,Santo Amaro,21379.69,17.0,113.0,2.91,,3.0,8.0,6.0,1,363454.65
05818-270,Jardim Vergueiro,5944.32,61.0,333.0,3.99,17.5,15.0,14.0,14.5,2,362603.7
05640-004,Jardim Londrina,7548.26,48.0,271.0,2.47,8.0,13.0,8.0,15.0,3,362316.48
05847-570,Jardim Iracema,4109.91,88.0,396.0,4.16,13.0,24.0,24.0,27.0,1,361671.71
05622-040,Vila Sônia,9039.46,40.0,232.0,3.99,7.0,6.0,10.0,17.0,1,361578.29
05766-260,Jardim Olinda,2841.31,127.0,486.0,3.98,30.0,37.0,28.0,32.0,1,360846.57
05711-900,Jardim Vazani,5055.46,71.0,510.0,3.7,15.0,13.0,19.0,24.0,1,358937.53
05640-001,Jardim Londrina,12142.17,29.5,191.0,3.68,4.5,8.5,8.5,8.0,2,358193.97
05756-340,Jardim Umarizal,4504.43,79.0,378.0,4.37,19.0,20.0,22.0,18.0,1,355850.03
05772-060,Parque Regina,2332.75,152.5,596.0,4.42,32.5,38.5,39.0,42.5,2,355744.03
04617-001,Campo Belo,11857.47,30.0,252.0,4.1,7.0,9.0,7.0,7.0,1,355724.18
05660-000,Paraisópolis,1875.14,189.0,638.0,2.35,47.0,55.0,37.0,46.0,13,354401.93
04650-040,Jardim Umuarama,11421.46,31.0,224.0,4.53,6.5,4.5,11.0,9.0,2,354065.26
05642-904,Vila Andrade,16814.74,21.0,140.0,2.71,6.0,10.0,5.0,,1,353109.63
04558-070,Brooklin Paulista,6881.98,51.0,409.0,4.6,8.0,10.0,12.0,21.0,1,350980.73
05659-020,Paraisópolis,2085.76,168.0,507.0,2.35,36.0,43.0,45.0,36.0,9,350407.13
05750-330,Vila Suzana,6719.73,52.0,355.0,3.63,14.0,17.0,8.0,13.0,1,349426.08
05723-390,Jardim Santo Antônio,2251.98,155.0,507.0,1.96,38.0,42.0,38.0,37.0,1,349057.57
04726-090,Chácara Japonesa,6651.92,52.0,349.0,0.48,10.0,9.0,16.0,17.0,1,345899.95
05665-130,Paraisópolis,1930.79,179.0,548.0,2.35,45.0,51.0,42.0,41.0,1,345611.48
04610-001,Parque Colonial,21596.95,16.0,184.0,4.01,12.0,4.0,,,1,345551.24
04726-070,Vila Cruzeiro,10443.15,33.0,174.0,0.67,5.0,6.0,11.0,11.0,1,344624.01
04602-006,Brooklin Paulista,17227.06,20.0,170.0,4.46,7.0,9.0,4.0,,1,344541.12
04696-310,Jurubatuba,8781.49,39.0,215.0,3.42,6.0,13.0,10.0,10.0,1,342478.04
04583-020,Vila Cordeiro,6985.8,49.0,302.0,2.49,11.0,12.0,14.0,12.0,1,342304.1
05756-350,Jardim Umarizal,4012.2,85.0,437.0,4.46,11.0,23.0,22.0,29.0,1,341037.37
04623-010,Brooklin Paulista,7570.64,45.0,257.0,4.09,18.0,9.0,15.0,14.0,3,340678.97
05655-010,Jardim Morumbi,13616.71,25.0,132.0,2.7,,11.0,9.0,5.0,1,340417.77
04623-110,Brooklin Paulista,8727.55,39.0,297.0,3.9,7.0,5.0,12.0,15.0,1,340374.43
05712-010,Jardim Parque Morumbi,2577.56,132.0,404.0,1.94,18.0,33.0,34.0,47.0,1,340237.36
05656-000,Fazenda Morumbi,9971.05,34.0,188.0,2.28,12.0,8.0,7.0,7.0,1,339015.55
04763-210,Socorro,4459.44,76.0,475.0,3.87,12.0,23.0,21.0,20.0,1,338917.7
05663-020,Paraisópolis,1968.78,172.0,538.0,2.54,46.0,47.0,45.0,34.0,7,338629.88
05624-040,Vila Morse,6387.37,53.0,281.0,4.36,10.0,12.0,16.0,15.0,1,338530.58
05628-080,Jardim Colombo,4451.77,76.0,398.0,4.01,16.0,26.0,19.0,15.0,1,338334.84
04716-002,Chácara Santo Antônio (Zona Sul),8663.76,39.0,306.0,1.03,8.0,5.0,15.0,11.0,1,337886.6
04635-030,Vila Alexandria,12035.77,28.0,162.0,4.59,6.0,6.0,10.0,6.0,1,337001.56
05686-050,Real Parque,2388.66,141.0,422.0,2.99,27.0,33.0,36.0,37.0,5,336800.43
05750-290,Vila Suzana,5314.42,63.0,355.0,3.73,10.0,17.0,18.0,18.0,1,334808.5
04559-002,Brooklin Paulista,12610.53,26.5,217.5,3.37,9.0,6.5,6.0,7.0,4,334179.11
04631-010,Jardim Aeroporto,7103.86,47.0,372.0,4.71,15.0,10.0,11.0,11.0,1,333881.52
04745-020,Santo Amaro,4830.52,69.0,487.0,2.83,16.0,14.0,25.0,14.0,1,333306.01
04567-070,Cidade Monções,8543.32,39.0,247.0,3.32,11.0,6.0,11.0,11.0,1,333189.31
05626-001,Vila Sônia,4316.88,77.0,383.0,4.51,19.0,23.0,20.0,15.0,1,332399.9
05749-340,Jardim das Palmas,3255.97,102.0,388.0,3.84,23.0,23.0,28.0,28.0,1,332108.75
04754-080,Santo Amaro,6446.98,51.5,339.5,1.55,12.0,16.0,12.0,11.5,2,332019.42
05815-000,Jardim São João,2861.79,116.0,491.0,3.68,20.0,30.0,30.0,36.0,3,331967.61
05844-220,Jardim São Luís,2587.33,128.0,640.0,3.37,20.0,23.0,39.0,46.0,1,331177.86
04561-906,Brooklin Paulista,14395.26,23.0,308.0,4.01,10.0,6.0,4.0,3.0,1,331091.02
04623-150,Brooklin Paulista,7352.71,45.0,317.0,4.12,6.0,20.0,13.0,6.0,1,330871.81
04715-002,Chácara Santo Antônio (Zona Sul),11762.61,28.0,223.0,1.74,6.0,8.0,6.0,9.0,3,329353.15
05767-470,Jardim Catanduva,2765.52,119.0,426.0,4.72,31.0,27.0,23.0,38.0,1,329096.93
04605-003,Campo Belo,18272.03,18.0,221.0,3.92,,4.0,7.0,7.0,1,328896.55
05641-020,Vila Suzana,13147.55,25.0,182.0,2.71,3.0,4.0,10.0,8.0,1,328688.74
05778-170,Parque Arariba,1825.33,180.0,600.0,4.41,42.5,46.5,45.5,45.5,2,328558.92
04566-061,Cidade Monções,14904.79,22.0,264.0,3.99,9.0,4.0,3.0,6.0,1,327905.38
04578-911,Brooklin Paulista,8518.39,38.0,235.0,3.55,12.0,8.0,7.0,11.0,1,323698.84
05814-210,Jardim Ibirapuera,2128.9,152.0,521.0,3.57,25.5,31.0,53.0,42.5,4,323592.19
05625-150,Vila Sônia,3091.53,104.0,511.0,4.45,17.0,29.0,36.0,22.0,1,321519.2
04566-080,Cidade Monções,13976.09,23.0,225.0,4.07,8.0,6.0,3.0,6.0,1,321450.05
05752-400,Jardim Maria Duarte,4016.07,80.0,391.5,4.12,13.5,19.5,22.5,24.5,2,321285.43
05754-071,Jardim Umarizal,5431.35,59.0,311.0,4.26,14.0,13.0,14.0,18.0,1,320449.82
04637-050,Jardim Petrópolis,6046.01,53.0,303.0,3.23,13.0,13.0,12.0,15.0,1,320438.49
04671-210,Vila Sofia,10676.7,30.0,233.0,3.48,5.0,10.0,6.0,9.0,1,320301.14
05712-030,Jardim Parque Morumbi,2834.34,113.0,319.0,2.09,16.0,25.0,36.0,36.0,1,320279.89
05774-250,Parque Regina,2403.24,133.0,585.0,3.83,36.0,25.0,41.0,31.0,1,319631.34
05775-180,Parque Regina,2878.9,111.0,515.0,4.28,29.0,23.0,29.0,30.0,1,319557.37
05756-190,Jardim Umarizal,1774.96,179.0,534.0,4.2,40.0,51.0,44.0,44.0,1,317717.45
05638-070,Jardim Londrina,8578.54,37.0,256.0,4.04,3.0,12.0,13.0,9.0,1,317406.09
05818-330,Jardim Vergueiro,3270.97,97.0,470.0,4.1,20.0,23.0,21.0,33.0,1,317284.24
05657-080,Jardim Vitória Régia,15101.74,21.0,127.0,1.49,3.0,8.0,,10.0,1,317136.55
04713-002,Chácara Santo Antônio (Zona Sul),5660.53,56.0,447.0,1.08,11.0,41.5,13.0,13.0,3,316989.57
04625-900,Nova Piraju,7910.19,40.0,248.0,4.58,15.0,11.0,4.0,10.0,1,316407.63
05633-050,Jardim Monte Kemel,4635.97,68.0,406.0,4.51,20.0,13.0,20.0,15.0,1,315246.21
05818-240,Jardim Vergueiro,3216.07,98.0,438.0,4.01,22.0,23.0,26.0,27.0,1,315175.29
05778-110,Parque Arariba,3460.16,91.0,413.0,3.9,16.0,14.0,32.0,29.0,1,314874.61
05776-340,Vila Franca,3399.0,92.5,359.5,3.38,21.0,22.5,25.5,23.5,2,314407.81
05752-350,Jardim Maria Duarte,2508.87,125.0,561.0,3.79,28.0,36.0,32.0,29.0,1,313608.49
04730-060,Várzea de Baixo,5768.51,54.0,316.0,1.46,12.0,13.0,13.0,16.0,1,311499.48
04709-080,Vila São Francisco (Zona Sul),8885.83,35.0,229.0,1.97,10.0,11.0,8.0,6.0,1,311004.08
05776-420,Vila Franca,2425.62,128.0,596.0,3.3,46.0,37.0,23.5,21.5,2,310479.52
05679-110,Jardim Panorama,1866.71,166.0,506.0,3.68,34.0,51.0,37.0,44.0,1,309874.03
04711-060,Vila São Francisco (Zona Sul),6581.93,47.0,289.0,1.55,10.0,13.0,12.0,12.0,1,309350.67
05846-390,Jardim Casablanca,6535.68,47.0,187.0,3.99,24.0,9.0,10.0,4.0,1,307177.1
05777-130,Vila Nova das Belezas,2061.04,149.0,518.0,4.27,29.0,35.0,42.0,43.0,1,307094.92
05820-200,Jardim Novo Santo Amaro,2553.08,120.0,513.5,4.16,49.0,48.0,48.0,45.5,5,306369.76
04762-040,Vila Socorro,2915.54,105.0,427.0,3.41,27.0,27.0,13.0,38.0,1,306132.06
05778-210,Parque Arariba,3430.73,89.0,383.0,4.07,11.0,31.0,23.0,24.0,1,305335.07
05635-040,Jardim Monte Kemel,4068.86,75.0,392.0,4.0,18.0,20.0,21.0,16.0,1,305164.28
05741-200,Jardim Taboão,4694.28,65.0,483.0,4.48,12.0,12.0,19.0,22.0,1,305128.07
05624-030,Vila Morse,6221.58,49.0,341.0,4.17,10.0,18.0,8.0,13.0,1,304857.46
04607-000,Campo Belo,19052.96,16.0,164.0,3.93,4.5,7.0,4.5,,2,304847.28
04902-160,Parque Alves de Lima,3946.07,77.0,434.0,4.66,16.0,22.0,20.0,19.0,1,303847.32
05836-180,Jardim Monte Azul,5425.06,56.0,360.5,2.94,11.5,14.0,14.0,16.5,2,303803.25
