CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,score_trafego_2025
05847-000,Jardim São Luís,2232.49,53.0,421.0,118321.86
05780-390,Campo Limpo,3460.16,34.0,413.0,117645.46
04685-000,Jardim Santo Amaro,8376.26,14.0,283.0,117267.59
05767-470,Campo Limpo,2518.34,45.5,383.0,114584.68
05777-100,Jardim São Luís,4076.34,27.5,345.5,112099.23
05690-040,Morumbi,8556.55,13.0,182.5,111235.17
04626-001,Campo Belo,8727.55,12.0,297.0,104730.6
04569-011,Vila Olímpia,8966.65,11.0,242.0,98633.11
04709-010,Jardim Petrópolis,8072.84,12.0,163.5,96874.05
05615-050,Cidade Jardim,27001.63,3.5,231.5,94505.71
04719-040,Chácara Santo Antônio,7717.13,12.0,200.5,92605.52
04714-001,Chácara Santo Antônio,10190.47,9.0,194.0,91714.25
05819-010,Jardim São Luís,2618.05,35.0,394.0,91631.75
04714-000,Chácara Santo Antônio,4215.57,20.0,298.0,84311.3
04752-010,Santo Amaro,5381.65,15.0,167.0,80724.8
05816-220,Jardim São Luís,2187.14,36.0,426.0,78737.14
04567-060,Brooklin Novo,7837.67,10.0,98.0,78376.68
05520-200,Ferreira,4646.51,15.0,259.0,69697.61
04571-030,Cidade Jardim,16119.26,4.0,104.5,64477.02
05850-230,Jardim São Luís,1886.49,31.5,229.5,59424.45
04715-002,Santo Amaro,6783.77,8.5,202.0,57662.06
05805-000,Jardim São Luís,2693.04,19.5,208.0,52514.36
04559-000,Brooklin Novo,15954.48,3.0,219.5,47863.45
04751-000,Jardim Santo Amaro,7331.07,5.5,96.0,40320.87
04726-170,Chácara Santo Antônio,12216.54,2.5,264.0,30541.35
04714-002,Chácara Santo Antônio,4573.41,4.0,104.0,18293.63
04556-300,Brooklin Novo,14159.33,0.0,193.0,0.0
04675-100,Campo Grande,5447.75,0.0,18.0,0.0
04620-020,Brooklin Velho,1871.98,0.0,62.0,0.0
04676-011,Campo Grande,,0.0,,
04794-000,Chácara Santo Antônio,,0.0,,
