CEP,Bairro,renda_mediana_2025,mediana_criancas_0_9,populacao_mediana,score_trafego_2025
05543-115,Vila Sônia,2196.09,77.0,539.0,169099.23
05588-000,Butantã,5245.88,32.0,473.0,167868.25
06764-290,Jardim Helena,3290.78,51.0,551.0,167829.77
04576-060,Brooklin Novo,6212.94,27.0,318.0,167749.42
05527-000,Jardim Jussara,3568.2,47.0,499.0,167705.36
05516-060,Caxingui,9274.33,18.0,254.0,166937.88
06753-040,Centro,3786.08,44.0,379.0,166587.45
05520-901,Vila Sônia,3963.59,42.0,466.0,166470.8
05755-150,Jardim Maria Duarte,4012.2,41.0,420.0,164500.38
04719-002,Chácara Santo Antônio,9125.83,18.0,213.0,164264.91
05547-080,Jardim Guaraú,5558.85,29.5,372.0,163986.17
05528-200,Parque Assunção,3629.24,45.0,481.0,163315.84
05615-050,Cidade Jardim,27001.63,6.0,231.5,162009.78
04704-050,Brooklin Novo,10778.06,15.0,325.0,161670.84
05784-160,Jardim Maria Duarte,5566.03,29.0,291.0,161414.75
06754-030,Centro,5541.78,29.0,295.0,160711.69
05843-160,Jardim São Luís,2542.85,63.0,608.0,160199.42
05374-070,Rio Pequeno,3394.7,47.0,480.0,159550.67
05734-040,Jardim Maria Duarte,2216.27,71.5,463.5,158463.43
05358-130,Rio Pequeno,4279.33,37.0,355.0,158335.31
05544-150,Jardim Guaraú,2979.77,53.0,553.0,157927.97
05761-200,Campo Limpo,2898.91,54.0,421.0,156541.22
05528-000,Vila Sônia,4389.47,35.5,399.5,155826.31
05539-080,Caxingui,5552.84,28.0,338.0,155479.4
04752-005,Santo Amaro,4849.46,32.0,421.0,155182.66
06757-290,Cidade Intercap,5166.88,30.0,431.0,155006.26
05750-000,Ferreira,4873.44,31.5,369.0,153513.41
04709-210,Chácara Santo Antônio,8496.16,18.0,332.0,152930.82
06763-270,Chácara Marapuí,4076.51,37.5,490.0,152869.3
05736-040,Campo Limpo,2761.28,55.0,479.0,151870.49
05625-050,Vila Sônia,4316.88,35.0,383.0,151090.86
05591-060,Caxingui,6560.52,23.0,253.0,150891.86
05794-400,Campo Limpo,3839.73,39.0,384.0,149749.4
05624-001,Vila Sônia,6793.49,22.0,281.0,149456.79
05841-160,Jardim São Luís,3292.45,45.0,408.0,148160.45
06790-240,Parque Pinheiros,3482.32,42.0,366.0,146257.65
05767-470,Campo Limpo,2541.61,57.0,378.0,144871.89
05363-902,Rio Pequeno,12033.14,12.0,225.0,144397.64
05592-050,Butantã,8469.78,17.0,309.0,143986.2
06753-120,Centro,3593.87,40.0,407.0,143755.0
05709-020,Vila Andrade,5314.42,27.0,355.0,143489.36
05776-340,Campo Limpo,2490.08,57.5,424.5,143179.7
05711-001,Ferreira,5055.46,28.0,510.0,141552.83
04726-220,Granja Julieta,11320.54,12.5,273.5,141506.77
05590-080,Butantã,7046.69,20.0,318.0,140933.79
05596-000,Butantã,7672.19,18.0,207.5,138099.45
05363-170,Rio Pequeno,5298.07,26.0,305.0,137749.71
05530-050,Caxingui,8583.27,16.0,251.0,137332.27
04571-010,Vila Olímpia,7622.02,18.0,243.0,137196.33
06763-190,Jardim Bontempo,5460.0,25.0,263.5,136500.07
05763-450,Campo Limpo,2672.75,51.0,448.0,136310.29
05594-110,Butantã,6329.56,21.5,301.5,136085.58
06755-320,Jardim Guaraú,3555.52,38.0,429.0,135109.88
05547-050,Jardim Guaraú,5003.45,27.0,445.0,135093.11
05804-900,Jardim São Luís,3508.29,38.0,402.0,133315.0
05522-020,Vila Sônia,7797.31,17.0,362.0,132554.31
05763-470,Campo Limpo,2726.68,48.0,507.0,130880.53
05780-390,Capão Redondo,3377.8,38.5,429.5,130045.2
04715-000,Chácara Santo Antônio,11762.61,11.0,205.0,129388.74
05528-290,Jardim Dracena,3221.3,40.0,445.0,128851.8
05591-070,Caxingui,7319.01,17.0,282.5,124423.17
05766-290,Campo Limpo,2683.24,46.0,349.0,123428.96
05521-400,Ferreira,6416.89,19.0,288.0,121920.93
05364-000,Rio Pequeno,3020.27,40.0,323.0,120810.69
06764-340,Parque Albina,3658.54,33.0,326.5,120731.74
05547-000,Jardim Guaraú,4290.93,28.0,443.0,120146.01
05547-150,Jardim Guaraú,2607.79,46.0,376.0,119958.51
04709-011,Jardim Petrópolis,8873.1,13.5,299.5,119786.89
05516-030,Caxingui,8734.19,13.5,233.5,117911.58
05359-000,Rio Pequeno,6156.2,19.0,312.0,116967.73
05596-030,Butantã,4862.54,24.0,263.0,116700.92
05617-010,Morumbi,11650.32,10.0,237.0,116503.23
05512-300,Vila Sônia,7740.44,15.0,436.5,116106.61
05512-200,Caxingui,9635.78,12.0,149.0,115629.41
05539-040,Caxingui,5588.87,20.5,262.0,114571.87
06754-160,Jardim Monte Alegre,3942.3,29.0,452.0,114326.81
05539-000,Caxingui,5393.18,21.0,274.0,113256.78
05777-100,Jardim São Luís,4076.34,27.5,345.5,112099.23
04741-000,Santo Amaro,10140.26,11.0,295.0,111542.91
05690-040,Morumbi,8556.55,13.0,182.5,111235.17
06760-050,Jardim Pedro Gonçalves,3220.54,34.5,338.5,111108.58
05368-020,Rio Pequeno,4731.61,23.0,314.0,108826.98
06754-050,Centro,4351.68,25.0,361.0,108791.9
05540-130,Caxingui,5972.78,18.0,197.0,107510.08
05528-220,Vila Sônia,2579.16,41.0,364.0,105745.61
05520-300,Ferreira,6990.45,15.0,276.0,104856.79
05589-040,Butantã,5188.14,20.0,324.0,103762.89
05626-000,Vila Sônia,5124.93,20.0,322.0,102498.63
06754-220,Centro,4433.25,23.0,204.0,101964.84
06754-070,Centro,4739.95,21.0,396.0,99538.88
04569-011,Vila Olímpia,8966.65,11.0,242.0,98633.11
05520-000,Butantã,4575.65,21.5,263.0,98376.43
05544-000,Jardim Guaraú,2637.58,37.0,368.0,97590.5
05788-290,Campo Limpo,2484.89,39.0,573.0,96910.71
04709-010,Jardim Petrópolis,8072.84,12.0,163.5,96874.05
05547-030,Jardim Guaraú,3302.23,29.0,253.0,95764.55
05539-010,Caxingui,6194.88,15.0,245.0,92923.16
04719-040,Chácara Santo Antônio,7717.13,12.0,200.5,92605.52
05625-160,Vila Sônia,8387.46,11.0,257.0,92262.06
04714-001,Chácara Santo Antônio,10190.47,9.0,194.0,91714.25
05525-050,Ferreira,4793.27,19.0,288.0,91072.19
05616-060,Morumbi,8146.67,11.0,261.0,89613.38
05814-190,Jardim São Luís,1907.91,45.0,230.0,85855.94
04714-000,Chácara Santo Antônio,4215.57,20.0,298.0,84311.3
04752-010,Santo Amaro,5381.65,15.0,167.0,80724.8
04567-060,Brooklin Novo,7837.67,10.0,98.0,78376.68
05595-040,Butantã,6229.15,12.5,256.5,77864.4
06757-050,Parque Pinheiros,3131.26,23.0,273.0,72019.04
05520-100,Vila Sônia,3783.21,19.0,238.0,71881.07
05540-030,Caxingui,5504.98,12.5,192.0,68812.23
04571-030,Cidade Jardim,16119.26,4.0,104.5,64477.02
05587-160,Caxingui,4902.36,13.0,237.0,63730.72
04726-170,Chácara Santo Antônio,12216.54,5.0,264.0,61082.69
04715-002,Santo Amaro,6783.77,8.5,202.0,57662.06
05521-000,Vila Sônia,5049.91,11.0,248.0,55549.06
05805-000,Jardim São Luís,2693.04,19.5,208.0,52514.36
06756-120,Jardim Guaraú,2816.46,18.0,228.0,50696.21
05540-000,Caxingui,4605.63,8.0,215.0,36845.05
06775-460,Jardim Bontempo,5201.98,6.0,65.0,31211.89
04714-002,Chácara Santo Antônio,4573.41,4.0,104.0,18293.63
06753-030,Ferreira,1521.52,9.0,52.0,13693.65
05615-020,Morumbi,20944.19,0.0,26.0,0.0
05615-180,Morumbi,7507.36,0.0,99.0,0.0
