id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,CEP,Bairro,Cidade,UF,Logradouro
455630,2022,-23.6326850737784,-46.7317749050054,5,kilometer,247,"19061,8",5.0,12.0,17.0,17.0,,05717-270,Vila Andrade,São Paulo,São Paulo,Rua Fábio Lopes dos Santos Luz
452198,2022,-23.6401673559529,-46.714511020394,5,kilometer,541,"19016,1",42.0,50.0,46.0,35.0,,04727-001,Granja Julieta,São Paulo,São Paulo,Rua do Carreiro de Pedra
447191,2022,-23.5807697355522,-46.7071982085308,5,kilometer,175,"18995,06",,6.0,8.0,10.0,,05607-000,Cidade Jardim,São Paulo,São Paulo,Rua Malvinas
455526,2022,-23.6381883882854,-46.7299586325248,5,kilometer,152,"18989,89",,12.0,7.0,7.0,,05707-001,Vila Andrade,São Paulo,São Paulo,Rua Itapaiúna
455639,2022,-23.6349053809358,-46.7262901997666,5,kilometer,632,"18954,01",45.0,49.0,39.0,31.0,,05708-290,Vila Andrade,São Paulo,São Paulo,Avenida Dona Helena Pereira de Moraes
445685,2022,-23.6533240880602,-46.7486054115866,5,kilometer,340,"18916,28",31.0,26.0,17.0,12.0,,05846-410,Jardim São Luís,São Paulo,São Paulo,Rua Filipe Neri Teixeira
447211,2022,-23.6126691799992,-46.7057261648897,5,kilometer,322,"18899,22",10.0,19.0,16.0,17.0,,05688-021,Morumbi,São Paulo,São Paulo,Rua Dom Paulo Pedrosa
455455,2022,-23.6315476884213,-46.733377385632494,5,kilometer,579,"18843,26",16.0,20.0,37.0,39.0,,05724-003,Vila Andrade,São Paulo,São Paulo,Rua Itapimirum
458371,2022,-23.6081435028965,-46.733792442939,5,kilometer,326,"18829,0",27.0,30.0,35.0,18.0,,05625-170,Vila Sônia,São Paulo,São Paulo,
455424,2022,-23.6259346766437,-46.7301917795664,5,kilometer,391,"18726,04",18.0,21.0,19.0,25.0,,05715-010,Vila Andrade,São Paulo,São Paulo,Rua Marie Nader Calfat
