id,ano,latitude_centro,longitude_centro,radius,distance_unit,populacao_total,renda_media,v01031_0_4anos,v01032_5_9anos,v01033_10_14anos,v01034_15_19anos,Total,unidade,CEP,Logradouro,Bairro,Cidade,UF,renda_sm,cluster
431996,2022,-23.6312912812755,-46.6684833584561,5,kilometer,269.0,1417952.0,4.0,4.0,0.0,3.0,11.0,chacara,04632-010,R  Vapabussu,Jardim Aeroporto,São Paulo,SP,10.275014492753623,1
431998,2022,-23.6350978736956,-46.6661245993297,5,kilometer,263.0,820276.0,14.0,13.0,13.0,8.0,48.0,chacara,04632-040,R  Galileu,Jardim Aeroporto,São Paulo,SP,5.944028985507247,2
432001,2022,-23.6266279545487,-46.6763540717974,5,kilometer,501.0,317449.0,25.0,25.0,21.0,31.0,102.0,chacara,04609-001,R  Joao Alvares Soares,Campo Belo,São Paulo,SP,2.300355072463768,2
432002,2022,-23.6252810121282,-46.675763951997,5,kilometer,639.0,2271114.0,37.0,64.0,76.0,32.0,209.0,chacara,04609-001,R  Joao Alvares Soares,Campo Belo,São Paulo,SP,16.457347826086956,3
432003,2022,-23.625329671151,-46.6743419058956,5,kilometer,519.0,3037811.0,18.0,27.0,28.0,52.0,125.0,chacara,04608-010,R  Volta Redonda,Campo Belo,São Paulo,SP,22.013123188405796,3
432004,2022,-23.6260512596828,-46.6751993445672,5,kilometer,214.0,1705715.0,10.0,11.0,4.0,8.0,33.0,chacara,04610-011,R  Xavier Gouveia,Parque Colonial,São Paulo,SP,12.360253623188408,1
432005,2022,-23.6262067925779,-46.6748042985964,5,kilometer,184.0,1869866.0,12.0,4.0,,,16.0,chacara,04610-001,R  Zacarias De Gois,Parque Colonial,São Paulo,SP,13.549753623188405,1
432006,2022,-23.62443492666,-46.6750004434246,5,kilometer,402.0,2092158.0,16.0,35.0,45.0,33.0,129.0,chacara,04619-003,R  Gabriele D'Annunzio,Campo Belo,São Paulo,SP,15.160565217391305,3
432008,2022,-23.623754547113,-46.6757307448338,5,kilometer,316.0,2851517.0,16.0,19.0,30.0,18.0,83.0,chacara,04608-001,R Cd De Porto Alegre,Campo Belo,São Paulo,SP,20.663166666666665,3
432009,2022,-23.6238167272753,-46.6763465061768,5,kilometer,180.0,1669321.0,4.0,10.0,5.0,,19.0,chacara,04607-000,R  Antonio De Macedo Soares,Campo Belo,São Paulo,SP,12.096528985507245,1
432010,2022,-23.6265774767909,-46.6740249620185,5,kilometer,324.0,2787887.0,27.0,27.0,10.0,12.0,76.0,chacara,04610-020,R  Valter Fontenelle Ribeiro,Parque Colonial,São Paulo,SP,20.202079710144925,3
432011,2022,-23.6285399280448,-46.6666762833205,5,kilometer,251.0,753785.0,10.0,7.0,8.0,7.0,32.0,chacara,04625-050,R  Bras De Arzao,Nova Piraju,São Paulo,SP,5.462210144927536,2
432012,2022,-23.6236010225615,-46.6761530745696,5,kilometer,148.0,1629892.0,5.0,4.0,4.0,,13.0,chacara,04607-000,R  Antonio De Macedo Soares,Campo Belo,São Paulo,SP,11.810811594202898,1
432022,2022,-23.6391245069741,-46.67075356084,5,kilometer,300.0,250668.0,26.0,40.0,14.0,8.0,88.0,chacara,04635-080,R Dr Abelardo Vergueiro Cesar,Vila Alexandria,São Paulo,SP,18.164347826086956,2
432023,2022,-23.6380759946414,-46.6697528444428,5,kilometer,221.0,848965.0,6.0,4.0,6.0,,16.0,chacara,04634-020,R  Lacedemonia,Jardim Brasil (Zona Sul),São Paulo,SP,6.151920289855072,2
432032,2022,-23.643380490086,-46.6708161269358,5,kilometer,529.0,1512107.0,26.0,44.0,34.0,28.0,132.0,chacara,04635-041,R  Maratona,Vila Alexandria,São Paulo,SP,10.957297101449274,1
